X,ID,Accepted.Symbol,Symbol,Scientific.Name,Common.Name,Genus,Family,Family.Common.Name,Duration,Growth.Habit,Native.Status,Invasive,FunGrp1,FunGrp2,FunGrp,Updated
280,3531,DAUCU,DAUCU,Daucus,wild carrot,Daucus,Apiaceae,Carrot family,,Forb,,,NA,NA,Other,X
1868,4251,ERIGE2,ERIGE2,Erigeron,fleabane,Erigeron,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
326,4672,ERYNG,ERYNG,Eryngium,eryngo,Eryngium,Apiaceae,Carrot family,,Forb,,,NA,NA,Other,X
4620,4798,EUPHO,EUPHO,Euphorbia,spurge,Euphorbia,Euphorbiaceae,Spurge family,,Forb,,,NA,NA,Other,X
8248,4859,FESTU,FESTU,Festuca,fescue,Festuca,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
10622,5021,GALIU,GALIU,Galium,bedstraw,Galium,Rubiaceae,Madder family,,Forb,,,NA,NA,Other,X
5723,5184,GERAN,GERAN,Geranium,geranium,Geranium,Geraniaceae,Geranium family,,Forb,,,NA,NA,Other,X
834,5350,GNAPH,GNAPH,Gnaphalium,cudweed,Gnaphalium,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
1152,5486,HELEN,HELEN,Helenium,sneezeweed,Helenium,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
1150,5504,HELIA3,HELIA3,Helianthus,sunflower,Helianthus,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
7960,5741,HORDE,HORDE,Hordeum,barley,Hordeum,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
1289,5883,HYPOC,HYPOC,Hypochaeris,cat's ear,Hypochaeris,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
1040,6195,LACTU,LACTU,Lactuca,lettuce,Lactuca,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
933,6257,LASTH,LASTH,Lasthenia,goldfields,Lasthenia,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
2771,6390,LEPID,LEPID,Lepidium,pepperweed,Lepidium,Brassicaceae,Mustard family,,Forb,,,NA,NA,Other,X
9005,6455,LEPTO22,LEPTO22,Leptosiphon,leptosiphon,Leptosiphon,Polemoniaceae,Phlox family,,Forb,,,NA,NA,Other,X
NA,NA,LILIAC,LILIAC,NA,NA,NA,NA,NA,NA,Forb,NA,NA,,,Other,X
9137,6667,LINAN2,LINAN2,Linanthus,linanthus,Linanthus,Polemoniaceae,Phlox family,,Forb,,,NA,NA,Other,X
8498,6765,LOLIU,LOLIU,Lolium,ryegrass,Lolium,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
7095,7314,MALVA,MALVA,Malva,mallow,Malva,Malvaceae,Mallow family,,Forb,,,NA,NA,Other,X
1002,7484,MICRO6,MICRO6,Microseris,silverpuffs,Microseris,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
6348,7675,MONAR,MONAR,Monarda,beebalm,Monarda,Lamiaceae,Mint family,,Forb,,,NA,NA,Other,X
6347,7683,MONAR2,MONAR2,Monardella,monardella,Monardella,Lamiaceae,Mint family,,Forb,,,NA,NA,Other,X
9618,7760,MONTI,MONTI,Montia,minerslettuce,Montia,Portulacaceae,Purslane family,,Forb,,,NA,NA,Other,X
9135,7884,NAVAR,NAVAR,Navarretia,pincushionplant,Navarretia,Polemoniaceae,Phlox family,,Forb,,,NA,NA,Other,X
6081,8643,PHACE,PHACE,Phacelia,phacelia,Phacelia,Hydrophyllaceae,Waterleaf family,,Forb,,,NA,NA,Other,X
781,8778,PHALA,PHALA,Phalacroseris,mock dandelion,Phalacroseris,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
8184,8782,PHALA2,PHALA2,Phalaris,canarygrass,Phalaris,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
2263,9019,PLAGI,PLAGI,Plagiobothrys,popcornflower,Plagiobothrys,Boraginaceae,Borage family,,Forb,,,NA,NA,Other,X
7934,9084,PLANT,PLANT,Plantago,plantain,Plantago,Plantaginaceae,Plantain family,,Forb,,,NA,NA,Other,X
8629,9169,POA,POA,Poa,bluegrass,Poa,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
NA,NA,POACEA,POACEA,NA,NA,NA,NA,NA,NA,Grass,NA,NA,,,Other,X
9591,9267,POLYG4,POLYG4,Polygonum,knotweed,Polygonum,Polygonaceae,Buckwheat family,,Forb,,,NA,NA,Other,X
NA,NA,POLYGO,POLYGO,NA,NA,NA,NA,NA,NA,Forb,NA,NA,,,Other,X
8624,9326,POLYP2,POLYP2,Polypogon,rabbitsfoot grass,Polypogon,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
10238,9386,POTEN,POTEN,Potentilla,cinquefoil,Potentilla,Rosaceae,Rose family,,Forb,,,NA,NA,Other,X
NA,NA,PTERID,PTERID,NA,NA,NA,NA,NA,NA,Forb,NA,NA,,,Other,X
9942,9702,RANUN,RANUN,Ranunculus,buttercup,Ranunculus,Ranunculaceae,Buttercup family,,Forb,,,NA,NA,Other,X
NA,NA,RANUNC,RANUNC,NA,NA,NA,NA,NA,NA,Forb,NA,NA,,,Other,X
9248,9997,RUMEX,RUMEX,Rumex,dock,Rumex,Polygonaceae,Buckwheat family,,Forb,,STATE,NA,NA,Other,X
2050,10410,SENEC,SENEC,Senecio,ragwort,Senecio,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
7164,10500,SIDAL,SIDAL,Sidalcea,checkerbloom,Sidalcea,Malvaceae,Mallow family,,Forb,,,NA,NA,Other,X
3476,10549,SILEN,SILEN,Silene,catchfly,Silene,Caryophyllaceae,Pink family,,Forb,,,NA,NA,Other,X
2139,10716,SONCH,SONCH,Sonchus,sowthistle,Sonchus,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
6507,10824,STACH,STACH,Stachys,hedgenettle,Stachys,Lamiaceae,Mint family,,Forb,,,NA,NA,Other,X
3490,10854,STELL,STELL,Stellaria,starwort,Stellaria,Caryophyllaceae,Pink family,,Forb,,,NA,NA,Other,X
1963,11071,TARAX,TARAX,Taraxacum,dandelion,Taraxacum,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
11626,11481,URTIC,URTIC,Urtica,nettle,Urtica,Urticaceae,Nettle family,,Forb,,,NA,NA,Other,X
11737,11635,VIOLA,VIOLA,Viola,violet,Viola,Violaceae,Violet family,,Forb,,,NA,NA,Other,X
7872,1,ABIES,ABIES,Abies,fir,Abies,Pinaceae,Pine family,,,,,NA,NA,ShrubsTrees,X
7359,12,ABRON,ABRON,Abronia,sand verbena,Abronia,Nyctaginaceae,Four o'clock family,,,,,NA,NA,Other,X
7093,31,ABUTI,ABUTI,Abutilon,Indian mallow,Abutilon,Malvaceae,Mallow family,,,,,NA,NA,Other,X
10458,51,ACAEN,ACAEN,Acaena,acaena,Acaena,Rosaceae,Rose family,,,,,NA,NA,Perennial Forb,X
4608,56,ACALY,ACALY,Acalypha,copperleaf,Acalypha,Euphorbiaceae,Spurge family,,,,,NA,NA,Other,X
1596,58,ACAMP,ACAMP,Acamptopappus,goldenhead,Acamptopappus,Asteraceae,Aster family,,,,,NA,NA,ShrubsTrees,X
6305,63,ACANT2,ACANT2,Acanthomintha,thorn-mint,Acanthomintha,Lamiaceae,Mint family,,,,,NA,NA,Annual Forb,X
10,70,ACANT7,ACANT7,Acanthus,acanthus,Acanthus,Acanthaceae,Acanthus family,,,,,NA,NA,Perennial Forb,X
11,72,ACARO2,ACARO2,Acarospora,cracked lichen,Acarospora,Acarosporaceae,,,,,,NA,NA,Other,X
1570,86,ACHIL,ACHIL,Achillea,yarrow,Achillea,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
2210,97,ACHLY,ACHLY,Achlys,achlys,Achlys,Berberidaceae,Barberry family,,,,,NA,NA,Perennial Forb,X
8122,100,ACHNA,ACHNA,Achnatherum,needlegrass,Achnatherum,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
3345,129,ACHYR3,ACHYR3,Achyronychia,achyronychia,Achyronychia,Caryophyllaceae,Pink family,,,,,NA,NA,Annual Forb,X
7339,131,ACLEI,ACLEI,Acleisanthes,trumpets,Acleisanthes,Nyctaginaceae,Four o'clock family,,,,,NA,NA,Perennial Forb,X
9967,133,ACONI,ACONI,Aconitum,monkshood,Aconitum,Ranunculaceae,Buttercup family,,,,,NA,NA,Perennial Forb,X
26,137,ACORU,ACORU,Acorus,sweetflag,Acorus,Acoraceae,Calamus family,,,,,NA,NA,Perennial Forb,X
729,139,ACOUR,ACOUR,Acourtia,desertpeony,Acourtia,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
8177,141,ACRAC,ACRAC,Acrachne,goosegrass,Acrachne,Poaceae,Grass family,,,,,NA,NA,Annual Grass,X
711,143,ACROP,ACROP,Acroptilon,hardheads,Acroptilon,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
9857,145,ACTAE,ACTAE,Actaea,baneberry,Actaea,Ranunculaceae,Buttercup family,,,,,NA,NA,Perennial Forb,X
501,148,ADENO,ADENO,Adenocaulon,trailplant,Adenocaulon,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
10516,153,ADENO2,ADENO2,Adenostoma,chamise,Adenostoma,Rosaceae,Rose family,,,,,NA,NA,ShrubsTrees,X
521,150,ADENO5,ADENO5,Adenophyllum,dogweed,Adenophyllum,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
9797,158,ADIAN,ADIAN,Adiantum,maidenhair fern,Adiantum,Pteridaceae,Maidenhair Fern family,,,,,NA,NA,Perennial Forb,X
10150,163,ADOLP,ADOLP,Adolphia,prickbush,Adolphia,Rhamnaceae,Buckthorn family,,,,,NA,NA,ShrubsTrees,X
9861,165,ADONI,ADONI,Adonis,pheasant's eye,Adonis,Ranunculaceae,Buttercup family,,,,,NA,NA,Annual Forb,X
8363,173,AEGOP2,AEGOP2,Aegopogon,relaxgrass,Aegopogon,Poaceae,Grass family,,,,,NA,NA,Annual Grass,X
3848,175,AEONI,AEONI,Aeonium,aeonium,Aeonium,Crassulaceae,Stonecrop family,,,,,NA,NA,ShrubsTrees,X
5833,180,AESCU,AESCU,Aesculus,buckeye,Aesculus,Hippocastanaceae,Horse-chestnut family,,,,,NA,NA,ShrubsTrees,X
8275,235,AGROP3,AGROP3,×Agropogon,agropogon,Agropogon,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
1243,529,ANAPH,ANAPH,Anaphalis,pearly everlasting,Anaphalis,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
8274,537,ANDRO2,ANDRO2,Andropogon,bluestem,Andropogon,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
671,591,ANTEN,ANTEN,Antennaria,pussytoes,Antennaria,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
8165,620,ANTHO,ANTHO,Anthoxanthum,hornwort,Anthoxanthum,Poaceae,Grass family,,,,,NA,NA,Other,X
160,624,ANTHR,ANTHR,Anthriscus,chervil,Anthriscus,Apiaceae,Carrot family,,,,,NA,NA,Annual Forb,X
1605,990,ARTEM,ARTEM,Artemisia,sagebrush,Artemisia,Asteraceae,Aster family,,,,,NA,NA,Other,X
3571,1284,ATRIP,ATRIP,Atriplex,saltbush,Atriplex,Chenopodiaceae,Goosefoot family,,,,,NA,NA,Other,X
11445,1352,ATROP,ATROP,Atropa,belladonna,Atropa,Solanaceae,Potato family,,,,,NA,NA,Other,X
8195,1701,CALAM,CALAM,Calamagrostis,reedgrass,Calamagrostis,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
1702,1725,CALEN,CALEN,Calendula,marigold,Calendula,Asteraceae,Aster family,,,,,NA,NA,Annual Forb,X
4001,1747,CALOC2,CALOC2,Calocedrus,incense cedar,Calocedrus,Cupressaceae,Cypress family,,,,,NA,NA,ShrubsTrees,X
2837,1994,CARDA,CARDA,Cardamine,bittercress,Cardamine,Brassicaceae,Mustard family,,,,,NA,NA,Other,X
50,2219,CARPO,CARPO,Carpobrotus,carpobrotus,Carpobrotus,Aizoaceae,Fig-marigold family,,,,,NA,NA,Perennial Forb,X
11407,2232,CASTE2,CASTE2,Castela,castela,Castela,Simaroubaceae,Quassia family,,,,,NA,NA,ShrubsTrees,X
5641,2443,CENTA2,CENTA2,Centaurium,centaury,Centaurium,Gentianaceae,Gentian family,,,,,NA,NA,Annual Forb,X
3613,2598,CHENO,CHENO,Chenopodium,goosefoot,Chenopodium,Chenopodiaceae,Goosefoot family,,,,,NA,NA,Annual Forb,X
9401,2672,CHORI2,CHORI2,Chorizanthe,spineflower,Chorizanthe,Polygonaceae,Buckwheat family,,,,,NA,NA,Annual Forb,X
1413,2733,CHRYS9,CHRYS9,Chrysothamnus,rabbitbrush,Chrysothamnus,Asteraceae,Aster family,,,,,NA,NA,ShrubsTrees,X
9927,2944,CLEMA,CLEMA,Clematis,leather flower,Clematis,Ranunculaceae,Buttercup family,,,,,NA,NA,Perennial Forb,X
3808,3058,CONVO,CONVO,Convolvulus,bindweed,Convolvulus,Convolvulaceae,Morning-glory family,,,,,NA,NA,Other,X
3820,3148,CORNU,CORNU,Cornus,dogwood,Cornus,Cornaceae,Dogwood family,,,,,NA,NA,ShrubsTrees,X
8409,3161,CORTA,CORTA,Cortaderia,pampas grass,Cortaderia,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
10191,3176,COTON,COTON,Cotoneaster,cotoneaster,Cotoneaster,Rosaceae,Rose family,,,,,NA,NA,ShrubsTrees,X
3879,3190,CRASS,CRASS,Crassula,pygmyweed,Crassula,Crassulaceae,Stonecrop family,,,,,NA,NA,Other,X
4011,3353,CUSCU,CUSCU,Cuscuta,dodder,Cuscuta,Cuscutaceae,Dodder family,,,,"STATE, US",NA,NA,Annual Forb,X
2672,3386,CUSIC,CUSIC,Cusickiella,cusickiella,Cusickiella,Brassicaceae,Mustard family,,,,,NA,NA,Perennial Forb,X
8608,3500,DACTY2,DACTY2,Dactyloctenium,crowfoot grass,Dactyloctenium,Poaceae,Grass family,,,,,NA,NA,Other,X
8539,3619,DESCH,DESCH,Deschampsia,hairgrass,Deschampsia,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
8423,3653,DICHA2,DICHA2,Dichanthelium,rosette grass,Dichanthelium,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
8405,3727,DISTI,DISTI,Distichlis,saltgrass,Distichlis,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
9731,3736,DODEC,DODEC,Dodecatheon,shootingstar,Dodecatheon,Primulaceae,Primrose family,,,,,NA,NA,Perennial Forb,X
4391,3845,DRYOP,DRYOP,Dryopteris,woodfern,Dryopteris,Dryopteridaceae,Wood Fern family,,,,,NA,NA,Perennial Forb,X
3875,3851,DUDLE,DUDLE,Dudleya,dudleya,Dudleya,Crassulaceae,Stonecrop family,,,,,NA,NA,Perennial Forb,X
1774,3915,EASTW,EASTW,Eastwoodia,eastwoodia,Eastwoodia,Asteraceae,Aster family,,,,,NA,NA,ShrubsTrees,X
1773,3917,EATON,EATON,Eatonella,eatonella,Eatonella,Asteraceae,Aster family,,,,,NA,NA,Annual Forb,X
8588,3933,ECHIN4,ECHIN4,Echinochloa,cockspur grass,Echinochloa,Poaceae,Grass family,,,,,NA,NA,Annual Grass,X
8051,4012,ELYHO,ELYHO,×Elyhordeum,barley,Elyhordeum,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
8060,4016,ELYLE,ELYLE,×Elyleymus,wildrye,Elyleymus,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
7593,4090,EPILO,EPILO,Epilobium,willowherb,Epilobium,Onagraceae,Evening Primrose family,,,,,NA,NA,Other,X
4528,4202,ERICA,ERICA,Erica,heath,Erica,Ericaceae,Heath family,,,,,NA,NA,ShrubsTrees,X
1869,4204,ERICA2,ERICA2,Ericameria,goldenbush,Ericameria,Asteraceae,Aster family,,,,,NA,NA,ShrubsTrees,X
581,4627,ERIOP2,ERIOP2,Eriophyllum,woolly sunflower,Eriophyllum,Asteraceae,Aster family,,,,,NA,NA,Other,X
11327,4711,ERYTH4,ERYTH4,Erythranthe,monkeyflower,Erythranthe,Scrophulariaceae,Figwort family,,,,,NA,NA,Annual Forb,X
7783,4736,ESCHS,ESCHS,Eschscholzia,California poppy,Eschscholzia,Papaveraceae,Poppy family,,,,,NA,NA,Annual Forb,X
7280,4760,EUCAL,EUCAL,Eucalyptus,gum,Eucalyptus,Myrtaceae,Myrtle family,,,,,NA,NA,ShrubsTrees,X
7269,4885,FICUS,FICUS,Ficus,fig,Ficus,Moraceae,Mulberry family,,,,,NA,NA,ShrubsTrees,X
10119,4927,FRANG,FRANG,Frangula,buckthorn,Frangula,Rhamnaceae,Buckthorn family,,,,,NA,NA,ShrubsTrees,X
7375,4958,FRAXI,FRAXI,Fraxinus,ash,Fraxinus,Oleaceae,Olive family,,,,,NA,NA,ShrubsTrees,X
10192,5213,GEUM,GEUM,Geum,avens,Geum,Rosaceae,Rose family,,,,,NA,NA,Perennial Forb,X
8204,5336,GLYCE,GLYCE,Glyceria,mannagrass,Glyceria,Poaceae,Grass family,,,,,NA,NA,Perennial Grass,X
10353,5760,HORKE,HORKE,Horkelia,horkelia,Horkelia,Rosaceae,Rose family,,,,,NA,NA,Perennial Forb,X
3742,5872,HYPER,HYPER,Hypericum,St. Johnswort,Hypericum,Clusiaceae,Mangosteen family,,,,,NA,NA,Perennial Forb,X
6175,6046,JUGLA,JUGLA,Juglans,walnut,Juglans,Juglandaceae,Walnut family,,,,,NA,NA,ShrubsTrees,X
7134,6215,LAGUN3,LAGUN3,Lagunaria,cow itch tree,Lagunaria,Malvaceae,Mallow family,,,,,NA,NA,ShrubsTrees,X
836,6437,LEPID2,LEPID2,Lepidospartum,broomsage,Lepidospartum,Asteraceae,Aster family,,,,,NA,NA,ShrubsTrees,X
9007,6450,LEPTO2,LEPTO2,Leptodactylon,pricklyphlox,Leptodactylon,Polemoniaceae,Phlox family,,,,,NA,NA,ShrubsTrees,X
885,6539,LEUCA4,LEUCA4,Leucanthemum,daisy,Leucanthemum,Asteraceae,Aster family,,,,,NA,NA,Perennial Forb,X
