Date,Daily Max Temp (°F),Daily Min Temp (°F),Daily Rain (In)
10/31/2024,60.2,46.1,0.07
10/30/2024,62.9,44.4,0
10/29/2024,60.7,44.9,0
10/28/2024,62.6,50.8,0
10/27/2024,67.6,50.1,0
10/26/2024,71.3,51.8,0
10/25/2024,72.7,53.4,0
10/24/2024,76.5,50.7,0
10/23/2024,76.1,45.5,0
10/22/2024,63.8,42.9,0
10/21/2024,68.9,46.8,0
10/20/2024,75.2,53.2,0
10/19/2024,76.9,55.4,0
10/18/2024,70,54.3,0
10/17/2024,62.4,50,0
10/16/2024,69.2,48.4,0
10/15/2024,70.8,44.5,0
10/14/2024,53.5,38.2,0
10/13/2024,66.6,41.3,0
10/12/2024,73.2,49.8,0
10/11/2024,69.2,34.1,0
10/10/2024,68.4,43.6,0
10/9/2024,67.9,41.5,0
10/8/2024,69.6,48.1,0
10/7/2024,83.7,56.1,0
10/6/2024,90.4,62.2,0
10/5/2024,84.1,64,0
10/4/2024,83.7,57,0
10/3/2024,83.7,60,0
10/2/2024,87.8,60.9,0
10/1/2024,85.5,65.2,0
9/30/2024,81.6,44.9,0
9/29/2024,63.3,37.2,0
9/28/2024,57.7,39.5,0
9/27/2024,80.4,42.1,0
9/26/2024,64.8,42.8,0
9/25/2024,67.6,40.3,0
9/24/2024,77.7,41.5,0
9/23/2024,79.1,26.4,0
9/22/2024,63.8,28.5,0
9/21/2024,66.9,38.8,0
9/20/2024,59.1,42.7,0.01
9/19/2024,60.5,39.8,0.01
9/18/2024,66.2,44.1,0.04
9/17/2024,59.3,46,0
9/16/2024,62.4,45,0.08
9/15/2024,57.3,41.1,0
9/14/2024,62.1,44.2,0
9/13/2024,66.6,47.3,0
9/12/2024,69,49.2,0
9/11/2024,63.3,53.1,0
9/10/2024,67.7,53.8,0
9/9/2024,67.3,47.6,0.01
9/8/2024,69.5,46.1,0
9/7/2024,73.3,48.1,0
9/6/2024,75.2,49.3,0
9/5/2024,74.6,46.1,0
9/4/2024,68.8,47.5,0
9/3/2024,74.6,47.9,0
9/2/2024,70.3,54.1,0
9/1/2024,68.3,55.9,0
8/31/2024,66.8,56,0
8/30/2024,70.7,53,0
8/29/2024,69,51.9,0
8/28/2024,71.9,50.2,0
8/27/2024,74.6,46.6,0
8/26/2024,72.5,51.1,0
8/25/2024,74.9,51.7,0
8/24/2024,74,57.2,0
8/23/2024,70,53.5,0
8/22/2024,70.9,55.7,0
8/21/2024,70.8,55.2,0
8/20/2024,77.2,52.9,0
8/19/2024,70.2,50.6,0
8/18/2024,67.8,54.2,0
8/17/2024,76.7,57.4,0
8/16/2024,69.8,51.9,0
8/15/2024,68.4,50.2,0
8/14/2024,71.4,50,0
8/13/2024,69.2,50.1,0
8/12/2024,66.7,48.7,0
8/11/2024,66.3,49.5,0
8/10/2024,65,48.9,0
8/9/2024,63.1,46.9,0
8/8/2024,66.8,48.3,0
8/7/2024,69.2,50.3,0
8/6/2024,68.7,48.8,0
8/5/2024,64.4,48.9,0
8/4/2024,62.4,49.6,0
8/3/2024,71.5,51.3,0
8/2/2024,67.2,49.6,0
8/1/2024,70.3,47.8,0
7/31/2024,71.3,49,0
7/30/2024,69.7,53.2,0
7/29/2024,67.6,52.3,0
7/28/2024,63.4,50.9,0.01
7/27/2024,63.8,51.3,0
7/26/2024,67.8,49.9,0
7/25/2024,70.4,52.1,0
7/24/2024,78.8,55.5,0
7/23/2024,79.8,47.5,0
7/22/2024,68,48.6,0
7/21/2024,61.9,50.5,0.01
7/20/2024,65.6,52.5,0
7/19/2024,76.1,49.7,0
7/18/2024,68,51.2,0
7/17/2024,66.8,51.9,0
7/16/2024,68.8,52.4,0
7/15/2024,68.5,52.2,0
7/14/2024,67.2,52.2,0
7/13/2024,73.2,49.8,0
7/12/2024,65.6,49.4,0
7/11/2024,74,49.3,0
7/10/2024,66.7,51.4,0
7/9/2024,70.2,51.2,0
7/8/2024,68.8,50.8,0.01
7/7/2024,72.3,51.5,0
7/6/2024,72.6,51.1,0
7/5/2024,81.5,52.7,0
7/4/2024,73.1,52.7,0
7/3/2024,87,55.2,0
7/2/2024,72,50.1,0
7/1/2024,71.2,47.1,0
6/30/2024,69,50.4,0
6/29/2024,70.2,49,0
6/28/2024,64.6,49.3,0
6/27/2024,65.2,51,0
6/26/2024,63.2,49,0
6/25/2024,66.4,48.6,0
6/24/2024,65.9,47,0
6/23/2024,64.8,47.9,0
6/22/2024,64,45.2,0
6/21/2024,61.7,47.6,0
6/20/2024,60,48.5,0
6/19/2024,62.4,48.7,0
6/18/2024,67.8,47,0
6/17/2024,68.2,48.1,0
6/16/2024,62.9,47.1,0
6/15/2024,63.4,47.9,0
6/14/2024,66.4,47.7,0
6/13/2024,56.9,48.3,0
6/12/2024,64.2,49.3,0
6/11/2024,73.5,46.6,0
6/10/2024,62.3,48.2,0.01
6/9/2024,63.8,50.4,0
6/8/2024,68,50.2,0
6/7/2024,65.2,48.8,0
6/6/2024,63.7,48.4,0
6/5/2024,70.9,49.9,0
6/4/2024,73.3,48.1,0
6/3/2024,66.4,49,0
6/2/2024,61.7,50.3,0.04
6/1/2024,59.4,50.1,0
5/31/2024,63.4,47.5,0
5/30/2024,65.3,45.2,0
5/29/2024,67.8,48,0
5/28/2024,60.9,48.1,0
5/27/2024,59.1,48.4,0
5/26/2024,60.4,48,0
5/25/2024,59.8,47.8,0.11
5/24/2024,59,48.6,0.03
5/23/2024,59.5,45.7,0
5/22/2024,60.7,47.5,0
5/21/2024,65.4,43.5,0
5/20/2024,60.3,46,0
5/19/2024,60.4,48.1,0
5/18/2024,63,49.8,0
5/17/2024,63,48.2,0.03
5/16/2024,64.5,50,0
5/15/2024,60.4,46.4,0
5/14/2024,58.9,46.4,0
5/13/2024,59.3,47.1,0
5/12/2024,60.8,48.2,0
5/11/2024,65.1,48.4,0
5/10/2024,67.2,49.3,0
5/9/2024,76,51.9,0
5/8/2024,70,45.2,0
5/7/2024,58.2,45.2,0
5/6/2024,59.9,43.5,0
5/5/2024,55,43.1,0
5/4/2024,53.2,44.1,1.3
5/3/2024,59,46.1,0
5/2/2024,58.6,45.7,0
5/1/2024,61.8,42.8,0
4/30/2024,55.6,45.2,0
4/29/2024,57.7,46.3,0
4/28/2024,59.8,47.8,0
4/27/2024,57.2,49.4,0
4/26/2024,58.2,49.6,0.08
4/25/2024,57.6,50,0
4/24/2024,60.5,50.6,0
4/23/2024,57.3,50.3,0
4/22/2024,60.7,48.3,0
4/21/2024,62.2,49,0
4/20/2024,63.7,46.2,0
4/19/2024,59.3,46.5,0
4/18/2024,57.8,45.3,0
4/17/2024,65.7,47.3,0
4/16/2024,64.7,44.1,0
4/15/2024,57.3,46.4,0
4/14/2024,59.6,45.3,0.1
4/13/2024,53.7,43.2,1.29
4/12/2024,57.2,47,0.02
4/11/2024,60.7,43.6,0
4/10/2024,66.6,42.8,0
4/9/2024,62.7,42.1,0
4/8/2024,59.2,43.9,0
4/7/2024,55.6,44.3,0
4/6/2024,56,41.2,0
4/5/2024,53.5,39.2,0.01
4/4/2024,52.2,39.4,0.38
4/3/2024,56.1,47.3,0
4/2/2024,61.4,45.2,0
4/1/2024,64.4,42.8,0
3/31/2024,58.5,41.7,0
3/30/2024,62.4,43.3,0.28
3/29/2024,52.7,44.3,1.26
3/28/2024,58.4,44,0
3/27/2024,56.4,41.7,0.35
3/26/2024,56.7,45.5,0.03
3/25/2024,55.6,49.8,0
3/24/2024,54.6,47,0.2
3/23/2024,57.5,47.3,0.12
3/22/2024,64.1,47.5,0.98
3/21/2024,63.5,47.7,0
3/20/2024,63.3,42.3,0
3/19/2024,60.5,45.9,0
3/18/2024,59.6,40.9,0
3/17/2024,59.3,42.3,0
3/16/2024,66.1,46.6,0
3/15/2024,72.7,49.3,0
3/14/2024,67.9,54.2,0
3/13/2024,58,45.2,0
3/12/2024,58.6,49.4,0.22
3/11/2024,57.7,46.7,0.3
3/10/2024,59.3,44.6,0.05
3/9/2024,59.7,44.5,0.04
3/8/2024,60.4,40.8,0
3/7/2024,56.8,42.5,0
3/6/2024,59.2,48.9,0.3
3/5/2024,58.1,49,0
3/4/2024,57.7,42.1,0.02
3/3/2024,54.6,43.3,0.31
3/2/2024,51.9,44.2,0.12
3/1/2024,56.4,47.6,0.55
2/29/2024,53.3,46.3,0.55
2/28/2024,60.2,40.1,0
2/27/2024,57.7,42,0
2/26/2024,62.6,45.2,0
2/25/2024,63.9,45.4,0
2/24/2024,69.1,48.8,0
2/23/2024,69,44.6,0
2/22/2024,63,42.4,0
2/21/2024,60.4,44.5,0
2/20/2024,59.2,47.7,0.35
2/19/2024,57.8,51.2,0.75
2/18/2024,64.8,50.9,0.79
2/17/2024,56.5,51.6,1.29
2/16/2024,62.3,46.9,0
2/15/2024,60.3,45.8,0.01
2/14/2024,57.4,44.2,0.47
2/13/2024,57.8,43.3,0
2/12/2024,58.4,40.4,0
2/11/2024,57.4,42.2,0
2/10/2024,60.6,41.5,0
2/9/2024,54.1,38.9,0
2/8/2024,53.3,40.9,0.01
2/7/2024,51.2,42.9,1.16
2/6/2024,57.5,41.8,0
2/5/2024,57.9,45.7,0.34
2/4/2024,59.6,49.3,1.2
2/3/2024,53.4,43.7,0.42
2/2/2024,55.6,43.6,0.34
2/1/2024,60.4,47.3,0.6
1/31/2024,58.7,50,2.19
1/30/2024,64.1,51.8,0
1/29/2024,75.3,51.8,0
1/28/2024,74.2,55.7,0
1/27/2024,67.6,49.8,0
1/26/2024,63.6,47,0
1/25/2024,58,45.7,0.01
1/24/2024,58.7,49.3,0.24
1/23/2024,57.8,49.5,0.05
1/22/2024,60,51.8,1.29
1/21/2024,60.7,51.3,1.05
1/20/2024,55.4,51.4,0.47
1/19/2024,60.2,50.4,0.45
1/18/2024,62.6,43.8,0
1/17/2024,59.2,46.1,0.03
1/16/2024,59,46.9,0.27
1/15/2024,62,44.5,0
1/14/2024,57.7,45.4,0.15
1/13/2024,55,41.5,0.83
1/12/2024,55.3,41,0
1/11/2024,52.6,38.3,0
1/10/2024,53.2,42.4,0.27
1/9/2024,52.3,45,0.13
1/8/2024,56,38,0
1/7/2024,51.2,41,0
1/6/2024,54.4,40.8,0.09
1/5/2024,61.6,48.5,0.01
1/4/2024,55.8,47.8,0
1/3/2024,54.2,45.2,0.16
1/2/2024,60,44.8,0.5
1/1/2024,62.2,43.8,0
12/31/2023,57.6,46.1,0
12/30/2023,57.1,48.6,0.46
12/29/2023,62.4,51.6,1.94
12/28/2023,64.7,55.9,0.01
12/27/2023,57.2,52.1,0.61
12/26/2023,61.2,43.9,0
12/25/2023,59,41.1,0
12/24/2023,57,40.6,0
12/23/2023,65,42.3,0
12/22/2023,64,51.6,0
12/21/2023,61.5,48.2,0
12/20/2023,59,50.2,2.09
12/19/2023,58.4,54.7,0.53
12/18/2023,60.5,55,0.93
12/17/2023,66.6,54.2,0.21
12/16/2023,75.3,49.6,0
12/15/2023,69.8,47.9,0
12/14/2023,64,44.8,0
12/13/2023,62.6,42.4,0
12/12/2023,60.7,42.9,0
12/11/2023,64.7,48,0
12/10/2023,66.2,41.7,0
12/9/2023,62.9,43.8,0
12/8/2023,56.6,43.3,0
12/7/2023,59.6,45.4,0.12
12/6/2023,61.1,45.4,0.2
12/5/2023,69.7,48.4,0
12/4/2023,67.8,49,0
12/3/2023,63.6,48.1,0
12/2/2023,57,50.6,0.11
12/1/2023,57.4,48.2,0
11/30/2023,58.9,48,0
11/29/2023,63.9,51.4,0.12
11/28/2023,66.4,47.2,0.15
11/27/2023,67,42.1,0
11/26/2023,67.7,45.7,0
11/25/2023,64.1,46.6,0
11/24/2023,61.1,47.5,0
11/23/2023,68.3,47.5,0
11/22/2023,69.6,47.2,0
11/21/2023,71.4,47.9,0
11/20/2023,67.3,48.6,0
11/19/2023,57,49.7,0.01
11/18/2023,62.8,51.8,0.56
11/17/2023,68.8,54.6,0.33
11/16/2023,68.9,56.9,0.02
11/15/2023,71.4,50.8,0.13
11/14/2023,69.3,51.3,0
11/13/2023,65.9,48.2,0
11/12/2023,74.5,51.2,0
11/11/2023,69.9,48.8,0
11/10/2023,68.6,43.8,0
11/9/2023,62.9,43.7,0
11/8/2023,67.9,44.3,0
11/7/2023,60.2,46.4,0
11/6/2023,64.5,55.2,0.01
11/5/2023,70.5,51.4,0.31
11/4/2023,69.7,51.9,0
11/3/2023,77.1,53.8,0
11/2/2023,73.2,53.8,0
11/1/2023,75.7,49.3,0
10/31/2023,75,49.4,0
10/30/2023,75.2,49.3,0
10/29/2023,73.8,52.1,0
10/28/2023,68.1,45.4,0
10/27/2023,59.8,45.5,0
10/26/2023,64,45.6,0
10/25/2023,62.1,52.6,0
10/24/2023,59.2,51.3,0
10/23/2023,65.3,55.1,0.06
10/22/2023,61.9,55.8,0.23
10/21/2023,68.2,51.7,0
10/20/2023,64.9,52.4,0
10/19/2023,84.5,54.7,0
10/18/2023,80.1,52.7,0
10/17/2023,68.6,51.5,0
10/16/2023,74.4,50.8,0
10/15/2023,68.5,50.4,0
10/14/2023,73.7,54.2,0
10/13/2023,67.8,50.2,0
10/12/2023,70.2,47.8,0
10/11/2023,62.3,50.5,0
10/10/2023,68.2,53.8,0.09
10/9/2023,70.8,51.8,0.04
10/8/2023,65.2,50,0
10/7/2023,77.3,53.3,0
10/6/2023,90.5,66.3,0
10/5/2023,90.6,64,0
10/4/2023,82.3,61,0
10/3/2023,65.2,47.5,0
10/2/2023,64.1,45.8,0
10/1/2023,67.3,48.8,0
9/30/2023,56.8,52.3,0.27
9/29/2023,61.8,53.3,0.03
9/28/2023,68.6,53.1,0
9/27/2023,68.5,55.3,0
9/26/2023,70.4,56.8,0.08
9/25/2023,74.9,52.2,0
9/24/2023,67.6,48.5,0
9/23/2023,67,50.8,0
9/22/2023,68.6,51.5,0
9/21/2023,70,50.3,0
9/20/2023,70,54.3,0
9/19/2023,69.8,54.4,0
9/18/2023,71.8,53.1,0
9/17/2023,70.9,55.2,0
9/16/2023,70.4,56.7,0
9/15/2023,64.8,56.1,0
9/14/2023,68.9,52.2,0
9/13/2023,66.9,52.8,0
9/12/2023,65.9,53.2,0
9/11/2023,67.2,53.3,0
9/10/2023,69.8,48.5,0
9/9/2023,71,47.6,0
9/8/2023,70.6,49.2,0
9/7/2023,66.2,49.7,0
9/6/2023,70.5,50.5,0
9/5/2023,66.6,52.5,0
9/4/2023,66.8,55.6,0
9/3/2023,70.4,57,0
9/2/2023,68.8,51.7,0
9/1/2023,63.7,53.8,0.08
8/31/2023,60.4,52.2,0
8/30/2023,80.3,54.4,0
8/29/2023,69.8,53.7,0
8/28/2023,70.6,53.7,0
8/27/2023,68.2,53.5,0
8/26/2023,67.3,54.2,0
8/25/2023,66,57,0
8/24/2023,79.3,58.4,0
8/23/2023,78.2,55.8,0
8/22/2023,74.2,58.9,0
8/21/2023,67.7,56.5,0
8/20/2023,76.5,54.4,0
8/19/2023,72.6,55.2,0
8/18/2023,74.6,56.5,0
8/17/2023,68.8,52.4,0
8/16/2023,71.2,52.3,0
8/15/2023,73.1,53.4,0
8/14/2023,72.2,52.1,0
8/13/2023,69.8,53.1,0
8/12/2023,71.6,54.5,0
8/11/2023,67.3,56.7,0
8/10/2023,69.6,51.8,0
8/9/2023,69.3,52,0.05
8/8/2023,70.4,50.9,0.01
8/7/2023,67.3,50.5,0
8/6/2023,71,49.8,0
8/5/2023,67.9,52.4,0
8/4/2023,64.4,53.7,0.01
8/3/2023,68.2,54.8,0.01
8/2/2023,64.4,53.8,0.03
8/1/2023,63.7,53.2,0
7/31/2023,66.4,51.8,0
7/30/2023,72.9,49.4,0
7/29/2023,70.2,51.8,0
7/28/2023,66.5,51.6,0
7/27/2023,65.7,51.5,0
7/26/2023,67.6,52.1,0
7/25/2023,72.2,49.5,0
7/24/2023,68.8,51.3,0
7/23/2023,68.3,50.8,0
7/22/2023,68.3,47.8,0
7/21/2023,68.4,46.5,0
7/20/2023,65.4,50.2,0
7/19/2023,62.3,51.2,0
7/18/2023,66.2,51,0
7/17/2023,68.7,53.2,0
7/16/2023,65.4,48.5,0
7/15/2023,68.3,50.9,0
7/14/2023,67,50.9,0
7/13/2023,70.7,48,0
7/12/2023,63.5,49,0
7/11/2023,64,45.1,0
7/10/2023,60.3,48.6,0.01
7/9/2023,63.9,50.8,0
7/8/2023,58,51.3,0
7/7/2023,56.9,51.7,0.02
7/6/2023,61.4,52.8,0
7/5/2023,66.5,51.4,0
7/4/2023,65.6,51.8,0
7/3/2023,67,53.3,0
7/2/2023,78.3,54,0
7/1/2023,74.2,47.4,0
6/30/2023,66.8,47.4,0
6/29/2023,63.3,49.2,0
6/28/2023,61.7,49.7,0.02
6/27/2023,59.8,50.4,0.05
6/26/2023,59.2,50.4,0.02
6/25/2023,63.6,50.9,0
6/24/2023,62.7,52.7,0
6/23/2023,59.3,52.7,0.02
6/22/2023,63.8,50.3,0.04
6/21/2023,58.4,49.8,0
6/20/2023,61.3,47.9,0
6/19/2023,60.7,50.7,0
6/18/2023,64.7,50.7,0
6/17/2023,64.5,50.9,0
6/16/2023,67.3,53.2,0
6/15/2023,67.2,52.1,0
6/14/2023,64.6,51.6,0.01
6/13/2023,62.1,53.1,0
6/12/2023,67.5,51.8,0.01
6/11/2023,60.8,51,0
6/10/2023,56.9,50.8,0
6/9/2023,62.9,52.1,0
6/8/2023,65.3,49.7,0
6/7/2023,65.1,51.2,0
6/6/2023,60,54.2,0.02
6/5/2023,63.7,49.3,0
6/4/2023,60.5,48.2,0
6/3/2023,62.3,48.5,0
6/2/2023,60.2,49.8,0
6/1/2023,57.4,50,0
5/31/2023,58.8,49.1,0
5/30/2023,60.4,51.1,0
1/13/2023,61.4,51.5,0.52
1/12/2023,63.5,52.4,0
1/11/2023,56.8,50.2,0.33
1/10/2023,56.2,47.7,0.27
1/9/2023,57.5,47.8,1.42
1/8/2023,59.9,52.4,0.5
1/7/2023,60.1,48.1,0.72
1/6/2023,59.2,50.3,0.01
1/5/2023,54.6,48.4,0.3
1/4/2023,54.2,53.8,0.01
1/3/2023,55.1,47.6,0.01
1/2/2023,52.2,42.4,0.28
1/1/2023,55.5,45.2,0
12/31/2022,55,47.8,2.54
12/30/2022,56.6,53.8,0.8
12/29/2022,54.9,45.5,0.22
12/28/2022,56.3,42.3,0.01
12/27/2022,56.8,48.5,2.12
12/26/2022,60.8,48.7,0.17
12/25/2022,70.7,51.4,0
12/24/2022,63.9,49,0
12/23/2022,61.5,49.6,0
12/22/2022,58.9,47,0
12/21/2022,61.5,43.7,0
12/20/2022,57.9,43.6,0
12/19/2022,56.6,37.8,0
12/18/2022,54.5,38.4,0
12/17/2022,58.5,38.7,0
12/16/2022,61.3,37.8,0
12/15/2022,59.9,39.1,0
12/14/2022,56.1,35.3,0
12/13/2022,55.7,35.6,0
12/12/2022,51.4,37.8,0.01
12/11/2022,52.9,41.4,0.46
12/10/2022,54.4,44.7,1.43
12/9/2022,54.7,39.9,0.01
12/8/2022,55,38.6,0.43
12/7/2022,54.9,39.2,0
12/6/2022,53.4,40.7,0.39
12/5/2022,57.6,46.6,0.32
12/4/2022,57,44.8,0.02
12/3/2022,50.8,44.9,0.9
12/2/2022,56.1,33,0
12/1/2022,50.6,40.1,0.92
11/30/2022,56,38.4,0
11/29/2022,59,38.6,0
11/28/2022,55.9,45.7,0
11/27/2022,59,44.3,0
11/26/2022,59.8,43.1,0
11/25/2022,74.8,48.2,0
11/24/2022,70.2,46.8,0
11/23/2022,69.1,43.6,0
11/22/2022,65.4,44.4,0
11/21/2022,67,44.1,0
11/20/2022,69.3,45.5,0
11/19/2022,68.9,46,0
11/18/2022,62.2,44.2,0
11/17/2022,65.3,39.6,0
11/16/2022,70,45.5,0
11/15/2022,66.8,41.4,0
11/14/2022,58.7,37.8,0
11/13/2022,61.1,38.8,0
11/12/2022,54.8,42,0.01
11/11/2022,59.8,39.4,0
11/10/2022,60.7,40.6,0
11/9/2022,57.4,41.8,0.11
11/8/2022,53.7,45,1.07
11/7/2022,58.8,44.9,0.26
11/6/2022,58.8,46.5,0.09
11/5/2022,59.1,50.8,0.2
11/4/2022,61.4,40.3,0
11/3/2022,55.1,40.2,0
11/2/2022,57.8,46.5,0
11/1/2022,56.3,45,0.46
10/31/2022,58.9,45.4,0
10/30/2022,54.2,46.8,0
10/29/2022,68,44.8,0
10/28/2022,60.2,45.9,0
10/27/2022,62.7,43.3,0
10/26/2022,58.7,44.4,0
10/25/2022,60.9,47.2,0
10/24/2022,69.3,49.3,0
10/23/2022,59.9,41.8,0
10/22/2022,59.7,52.1,0.08
10/21/2022,60.3,47.1,0
10/20/2022,65,47.6,0
10/19/2022,87,58.1,0
10/18/2022,78.2,52.4,0
10/17/2022,67.8,52.5,0
10/16/2022,67.4,52.1,0
10/15/2022,61.7,51.2,0
10/14/2022,57.3,46.8,0
10/13/2022,59.9,50.3,0
10/12/2022,64.4,49.4,0
10/11/2022,61.8,43.9,0.01
10/10/2022,63.5,47.7,0
10/9/2022,57.6,47.2,0
10/8/2022,62.3,45.9,0.01
10/7/2022,62.7,45.4,0
10/6/2022,61.3,46.4,0.01
10/5/2022,66.3,48.5,0
10/4/2022,62.6,53.4,0
10/3/2022,68,55.2,0
10/2/2022,69.7,56.6,0
10/1/2022,64,50.3,0
9/30/2022,67.3,51,0
9/29/2022,72.2,53.4,0
9/28/2022,69,51.6,0
9/27/2022,65.1,51.8,0
9/26/2022,65.4,52.1,0
9/25/2022,64.9,52.7,0
9/24/2022,73.8,54.7,0
9/23/2022,73.8,52.2,0
9/22/2022,72.3,48.7,0
9/21/2022,70.6,55,0.1
9/20/2022,74.6,51.1,0
9/19/2022,71.7,54.5,0
9/18/2022,65.4,56.9,0.46
9/17/2022,66.9,55.1,0
9/16/2022,65.7,55.8,0
9/15/2022,67.4,53.5,0
9/14/2022,71.2,56.5,0
9/13/2022,69.4,56.6,0
9/12/2022,68,57.6,0
9/11/2022,76.8,58.4,0
9/10/2022,77.9,54.4,0
9/9/2022,74,53.7,0
9/8/2022,83.3,56.9,0
9/7/2022,82.2,60.9,0
9/6/2022,99.2,57.8,0
9/5/2022,85.9,59.7,0
9/4/2022,80.4,53.6,0
9/3/2022,71.8,54.3,0
9/2/2022,65.2,50.2,0
9/1/2022,68.4,49.8,0
8/31/2022,66.7,52.5,0
8/30/2022,70.1,51.8,0
8/29/2022,69.5,52.8,0
8/28/2022,71.1,53.7,0
8/27/2022,68.8,50.2,0.01
8/26/2022,69.1,52.6,0
8/25/2022,66.7,51.5,0
8/24/2022,67,51.4,0.01
8/23/2022,69.2,52.7,0
8/22/2022,75.4,52.9,0
8/21/2022,72.8,50.4,0
8/20/2022,68.4,50.8,0
8/19/2022,68,53.2,0
8/18/2022,66.9,49.8,0
8/17/2022,72.4,49,0
8/16/2022,67.4,49.4,0
8/15/2022,65.8,52.1,0
8/14/2022,69.8,54.2,0
8/13/2022,69.1,55.2,0
8/12/2022,67.8,56.1,0
8/11/2022,67.7,58.6,0
8/10/2022,72.4,56.1,0
8/9/2022,73.5,57.9,0
8/8/2022,69.7,57,0
8/7/2022,69.6,53.7,0
8/6/2022,70.9,56,0
8/5/2022,73.2,56.5,0
8/4/2022,71.4,54.6,0
8/3/2022,72.4,54.2,0
8/2/2022,74,54.5,0
8/1/2022,73.6,54.9,0
7/31/2022,72,55.2,0
7/30/2022,69.8,55.6,0
7/29/2022,66.3,54.8,0
7/28/2022,66.2,50.9,0
7/27/2022,67.8,51.7,0
7/26/2022,68.6,53.7,0
7/25/2022,66.6,49.2,0.01
7/24/2022,62.8,48,0
7/23/2022,63.3,49,0
7/22/2022,66.4,50.6,0
7/21/2022,66,48.7,0
7/20/2022,63,49.4,0
7/19/2022,63.8,50.1,0
7/18/2022,70,50.8,0
7/17/2022,68.8,48.9,0
7/16/2022,67.9,47,0
7/15/2022,63.1,50.7,0
7/14/2022,66.2,52.8,0
7/13/2022,68,53.4,0
7/12/2022,70.7,52.9,0
7/11/2022,67.4,49.7,0
7/10/2022,70.3,51.8,0
7/9/2022,68.3,50.2,0
7/8/2022,67.8,51.3,0
7/7/2022,66.8,53.6,0
7/6/2022,69.8,56.6,0.02
7/5/2022,69.6,58.8,0
7/4/2022,72.1,52.6,0
7/3/2022,64.6,51.2,0.03
7/2/2022,57.9,51.3,0.06
7/1/2022,61.9,50.4,0.02
6/30/2022,61.5,50.8,0
6/29/2022,63.4,51.4,0
6/28/2022,66.6,48.6,0
6/27/2022,67.9,48.9,0
6/26/2022,67.2,48.2,0
6/25/2022,65.6,45.6,0
6/24/2022,66,46.2,0
6/23/2022,66.4,48.2,0
6/22/2022,84.4,52.7,0
6/21/2022,94,51.8,0
6/20/2022,74.7,46.1,0
6/19/2022,70.3,48.3,0
6/18/2022,62.6,49.9,0
6/17/2022,65,50.4,0
6/16/2022,62.4,49.7,0
6/15/2022,62.9,47.2,0
6/14/2022,68.4,46.2,0
6/13/2022,60.9,47.1,0
6/12/2022,68.9,51.5,0.02
6/11/2022,76.6,54,0
6/10/2022,81.2,55.2,0
6/9/2022,75.6,49,0
6/8/2022,70.3,52,0
6/7/2022,65.8,46.6,0
6/6/2022,64.2,48.8,0
6/5/2022,74,54.4,0.09
6/4/2022,70,51.6,0
6/3/2022,70.2,52.6,0.02
6/2/2022,68.3,48,0
6/1/2022,69.2,44.4,0
5/31/2022,66.2,43.7,0
5/30/2022,58.8,46.2,0
5/29/2022,59.2,47.6,0
5/28/2022,66.4,49.3,0.05
5/27/2022,64.1,50.5,0
5/26/2022,64.1,49.4,0
5/25/2022,73.2,50.4,0
5/24/2022,78,45.2,0
