Date,Time,Bat Volt Min Day (V),Dew Pt (°F),Latest Rain (In),Daily Rain (In),Barometric Pressure (inHg),RH (%),Temp (°F),Daily Max Temp (°F),Max Temp Time,Daily Min Temp (°F),Min Temp Time,Wind Dir (°),Wind Gust (mph),Wind Gst Dir (°),Wind Spd (mph)
9/20/20,1900,12.5,56,0,0,29.92,81,61.7,71.1,1141,53.6,0437,SW | 229,6,WSW | 243,1.9
9/20/20,1800,12.5,57,0,0,29.92,76,64.5,71.1,1141,53.6,0437,SW | 226,8.5,SW | 224,5.3
9/20/20,1700,12.5,57.5,0,0,29.92,74,66.2,71.1,1141,53.6,0437,SW | 235,8.3,WSW | 245,5.4
9/20/20,1600,12.5,57.7,0,0,29.92,67,69.1,71.1,1141,53.6,0437,WSW | 242,8.9,WSW | 244,5.2
9/20/20,1500,12.5,57.3,0,0,29.93,66,69.3,71.1,1141,53.6,0437,WSW | 243,8.8,WSW | 254,5.5
9/20/20,1400,12.5,56.6,0,0,29.95,66,68.5,71.1,1141,53.6,0437,WSW | 244,10,WSW | 244,5.3
9/20/20,1300,12.5,56.4,0,0,29.96,65,68.8,71.1,1141,53.6,0437,WSW | 255,9.8,WSW | 250,5.7
9/20/20,1200,12.5,56.4,0,0,29.96,63,69.5,71.1,1141,53.6,0437,WSW | 252,9,WSW | 238,4.9
9/20/20,1100,12.5,56.9,0,0,29.97,64,69.6,70.9,1025,53.6,0437,SW | 230,7,WSW | 248,3.5
9/20/20,1000,12.5,57.1,0,0,29.97,78,64.3,68.2,0958,53.6,0437,SW | 217,2.9,SSW | 213,1.2
9/20/20,0900,12.5,55.3,0,0,29.96,81,61.1,62.3,0822,53.6,0437,S | 190,3.5,SW | 231,0.8
9/20/20,0800,12.5,53.5,0,0,29.95,90,56.3,60.2,0800,53.6,0437,ENE | 75,8.1,E | 88,2.5
9/20/20,0700,12.5,53.7,0,0,29.93,96,54.9,55.9,0411,53.6,0437,NW | 323,1.5,NW | 313,0.2
9/20/20,0600,12.5,53.8,0,0,29.92,95,55.1,55.9,0411,53.6,0437,NE | 34,1.8,NE | 52,0.3
9/20/20,0500,12.5,54,0,0,29.91,96,55.1,55.9,0411,53.6,0437,E | 84,5.7,E | 91,1.5
9/20/20,0400,12.6,54.4,0,0,29.92,97,55.3,55.8,0335,54,0229,ENE | 66,2.5,E | 79,0.6
9/20/20,0300,12.6,54,0,0,29.93,97,54.7,55.6,0101,54,0229,E | 83,3,E | 94,0.8
9/20/20,0200,12.6,54.1,0,0,29.94,97,54.8,55.6,0101,54.1,0138,NE | 36,5.2,E | 88,1.3
9/20/20,0100,12.5,54.7,0,0,29.94,97,55.5,68.8,1543,54.7,0001,ENE | 74,2.4,E | 92,0.4
9/20/20,0000,12.5,54.7,0,0,29.96,97,55.5,68.8,1543,55,0000,NNE | 32,2.7,E | 90,0.5
9/19/20,2300,12.5,55,0,0,29.96,97,56,68.8,1543,55.5,2255,N | 357,3.6,NNE | 19,1.5
9/19/20,2200,12.5,55.7,0,0,29.97,96,56.8,68.8,1543,56.3,2159,N | 351,5.7,N | 354,2.6
9/19/20,2100,12.5,56.3,0,0,29.97,95,57.6,68.8,1543,57,2053,N | 350,6.9,NNW | 342,3.9
9/19/20,2000,12.5,57,0,0,29.97,94,58.8,68.8,1543,58.1,1954,NNW | 347,9.5,N | 0,5.8
9/19/20,1900,12.5,57.5,0,0,29.97,91,60.2,68.8,1543,58.2,0255,NNW | 328,14.2,NNW | 339,7.4
9/19/20,1800,12.5,57.6,0,0,29.97,76,65.4,68.8,1543,58.2,0255,NW | 321,15.1,NNW | 334,8.5
9/19/20,1700,12.5,57.4,0,0,29.97,72,66.8,68.8,1543,58.2,0255,NW | 322,16,NW | 320,9.6
9/19/20,1600,12.5,56.6,0,0,29.98,67,67.9,68.8,1543,58.2,0255,NW | 311,16.5,NW | 314,10.4
9/19/20,1500,12.5,57.4,0,0,30,75,65.5,68.8,1227,58.2,0255,NW | 326,14.9,NNW | 339,9.2
9/19/20,1400,12.5,57.7,0,0,30.02,74,66.2,68.8,1227,58.2,0255,NW | 315,14.6,NW | 318,9.8
9/19/20,1300,12.5,58.1,0,0,30.02,72,67.6,68.8,1227,58.2,0255,NW | 316,15.2,NW | 325,9.4
9/19/20,1200,12.5,57.7,0,0,30.03,71,67.2,68.4,1119,58.2,0255,NW | 318,13.7,NW | 311,9.3
9/19/20,1100,12.5,57.5,0,0,30.05,78,64.6,67.1,1054,58.2,0255,NW | 324,15.2,NW | 308,8.8
9/19/20,1000,12.5,58,0,0,30.06,86,62.3,63.4,0950,58.2,0255,NNW | 332,14.4,NNW | 329,7.5
9/19/20,0900,12.5,57.8,0,0,30.06,89,61.1,61.5,0837,58.2,0255,NNW | 334,12.2,NNW | 347,6.1
9/19/20,0800,12.5,57.6,0,0,30.05,90,60.5,61,0101,58.2,0255,N | 349,13.7,NNE | 24,6.4
9/19/20,0700,12.6,57.5,0,0,30.05,91,60.1,61,0101,58.2,0255,NNW | 335,10.3,NNW | 342,4.7
9/19/20,0600,12.6,57.2,0,0,30.04,91,59.8,61,0101,58.2,0255,N | 354,9.7,NNW | 347,4.8
9/19/20,0500,12.6,57.1,0,0,30.04,92,59.3,61,0101,58.2,0255,NNW | 343,12.3,N | 9,6.6
9/19/20,0400,12.6,57,0,0,30.05,94,58.6,61,0101,58.2,0255,N | 352,12.1,N | 354,5.6
9/19/20,0300,12.6,57.3,0,0,30.04,95,58.8,61,0101,58.2,0255,NNW | 340,13.6,NNW | 341,6.8
9/19/20,0200,12.6,58.1,0,0,30.05,92,60.5,61,0101,59.4,0159,NNW | 336,10.1,NNW | 327,5.2
9/19/20,0100,12.5,58.9,0,0,30.05,93,61,73,1224,57.7,0807,NNW | 336,11.4,NNW | 328,5.6
9/19/20,0000,12.5,59.3,0,0,30.05,92,61.5,73,1224,57.7,0807,NNW | 339,5.7,NNW | 343,2.9
9/18/20,2300,12.5,59.8,0,0,30.04,93,61.8,73,1224,57.7,0807,NNW | 347,9,NNW | 348,4.9
9/18/20,2200,12.5,59.6,0,0,30.05,91,62.4,73,1224,57.7,0807,NNW | 347,12.3,N | 351,5.1
9/18/20,2100,12.5,59.3,0,0,30.04,91,62.1,73,1224,57.7,0807,N | 359,10.6,NNW | 344,5.4
9/18/20,2000,12.5,58.6,0,0,30.03,87,62.6,73,1224,57.7,0807,NNW | 336,12.6,NW | 322,7.8
9/18/20,1900,12.5,57.9,0,0,30.02,74,66.5,73,1224,57.7,0807,NW | 323,14.1,NW | 323,8.1
9/18/20,1800,12.5,58,0,0,30.01,66,69.7,73,1224,57.7,0807,NW | 323,13.1,NNW | 331,8
9/18/20,1700,12.5,57.9,0,0,30.02,69,68.5,73,1224,57.7,0807,NW | 320,16.9,NW | 315,10.6
9/18/20,1600,12.5,58.8,0,0,30.03,70,68.8,73,1224,57.7,0807,NW | 322,16.6,NW | 326,10.3
9/18/20,1500,12.5,57.7,0,0,30.03,63,70.9,73,1224,57.7,0807,NW | 318,16.7,NW | 305,10
9/18/20,1400,12.5,56.8,0,0,30.03,60,71.3,73,1224,57.7,0807,NW | 313,17.1,NW | 304,11.4
9/18/20,1300,12.5,57.4,0,0,30.04,62,71.1,73,1224,57.7,0807,NW | 318,17.2,NW | 314,9.7
9/18/20,1200,12.5,58.5,0,0,30.05,71,68.3,69.8,1157,57.7,0807,NNW | 329,13.7,N | 354,7.4
9/18/20,1100,12.5,58.3,0,0,30.06,75,66.5,68.9,0940,57.7,0807,NW | 323,13,NNW | 335,6.4
9/18/20,1000,12.5,58,0,0,30.05,73,67,68.9,0940,57.7,0807,W | 269,12.3,NW | 326,4.6
9/18/20,0900,12.5,58.2,0,0,30.04,86,62.5,67.6,0900,57.7,0807,ENE | 73,7.7,E | 90,3.3
9/18/20,0800,12.5,56.6,0,0,30.04,94,58.2,62.9,0223,57.8,0719,ENE | 57,7.4,ENE | 73,3.2
9/18/20,0700,12.5,56.7,0,0,30.03,94,58.5,62.9,0223,58.3,0611,N | 10,7.4,N | 3,4.1
9/18/20,0600,12.6,57.1,0,0,30.02,90,59.9,62.9,0223,58.7,0558,N | 9,8.4,NNE | 15,4.7
9/18/20,0500,12.6,58,0,0,30.01,90,60.9,62.9,0223,60.5,0452,NNE | 17,9.6,NNE | 18,5.2
9/18/20,0400,12.6,58.8,0,0,30.01,89,62.2,62.9,0223,61.7,0101,NNE | 14,9.8,NNE | 24,5.7
9/18/20,0300,12.6,59.3,0,0,30.02,88,62.7,62.9,0223,61.7,0101,N | 2,8.4,NNW | 341,5
9/18/20,0200,12.6,59.6,0,0,30.04,91,62.2,62.7,0200,61.7,0101,N | 2,10.8,N | 354,4.5
9/18/20,0100,12.5,59.8,0,0,30.04,93,61.9,75.1,1250,55.5,0733,NNW | 346,12.1,N | 353,6.8
9/18/20,0000,12.5,59.2,0,0,30.04,90,62.2,75.1,1250,55.5,0733,N | 352,15,N | 350,7.2
9/17/20,2300,12.5,58.4,0,0,30.04,87,62.4,75.1,1250,55.5,0733,N | 357,12.1,N | 354,6.2
9/17/20,2200,12.5,58.3,0,0,30.03,86,62.6,75.1,1250,55.5,0733,N | 7,13.4,NNE | 15,8.7
9/17/20,2100,12.5,57.6,0,0,30.03,84,62.5,75.1,1250,55.5,0733,N | 5,10.7,N | 0,4.3
9/17/20,2000,12.5,57.5,0,0,30.02,82,63,75.1,1250,55.5,0733,N | 2,6.3,N | 0,2.4
9/17/20,1900,12.5,58.6,0,0,30.01,78,65.8,75.1,1250,55.5,0733,WSW | 245,4.8,W | 280,1.5
9/17/20,1800,12.5,59.1,0,0,30,84,64.2,75.1,1250,55.5,0733,NW | 312,9.7,NNW | 332,5.4
9/17/20,1700,12.5,58.9,0,0,30.01,82,64.5,75.1,1250,55.5,0733,NW | 324,15.3,WNW | 301,10.2
9/17/20,1600,12.5,59.3,0,0,30.01,68,70.4,75.1,1250,55.5,0733,NW | 315,15.4,NW | 318,8.5
9/17/20,1500,12.5,58.5,0,0,30.02,75,66.7,75.1,1250,55.5,0733,NW | 321,16.8,NNW | 332,9.8
9/17/20,1400,12.5,58,0,0,30.02,73,66.9,75.1,1250,55.5,0733,NW | 308,16.3,NW | 320,10.4
9/17/20,1300,12.5,59.2,0,0,30.03,66,71.3,75.1,1250,55.5,0733,WNW | 284,13.8,SW | 231,5.5
9/17/20,1200,12.5,59.3,0,0,30.04,76,67.3,70.3,1141,55.5,0733,NW | 307,12.4,NW | 305,6.4
9/17/20,1100,12.5,60.3,0,0,30.04,78,67.3,69.8,1022,55.5,0733,W | 260,11.4,WNW | 290,5.9
9/17/20,1000,12.5,61.6,0,0,30.03,96,62.7,66,1000,55.5,0733,SW | 225,3.6,SW | 233,1.2
9/17/20,0900,12.5,58.2,0,0,30.02,98,58.8,61.5,0101,55.5,0733,S | 186,3.4,ESE | 110,1.2
9/17/20,0800,12.5,55.8,0,0,30.01,98,56.5,61.5,0101,55.5,0733,NNE | 20,4.6,SSW | 192,1.5
9/17/20,0700,12.5,57,0,0,30,97,57.7,61.5,0101,56.6,0654,NNE | 24,5.2,NE | 49,1.2
9/17/20,0600,12.6,56.6,0,0,29.99,97,57.4,61.5,0101,56.7,0521,NNE | 27,4.9,ENE | 78,1.3
9/17/20,0500,12.6,57.3,0,0,29.99,96,58.3,61.5,0101,57.2,0500,SSE | 154,3,WSW | 241,0.7
9/17/20,0400,12.6,58.8,0,0,30,96,59.8,61.5,0101,59.1,0326,NNE | 32,6.3,ENE | 59,2.1
9/17/20,0300,12.6,59.8,0,0,30.01,97,60.7,61.5,0101,60.3,0157,NE | 49,7.9,NE | 45,3.5
9/17/20,0200,12.6,60.1,0,0,30.01,97,60.9,61.5,0101,60.3,0157,ENE | 58,9.6,ENE | 75,4.8
9/17/20,0100,12.5,62,0,0,30.02,96,63,74.3,1232,59.9,0101,NNE | 15,9.4,N | 354,4.6
9/17/20,0000,12.5,62.1,0,0,30.03,95,63.6,74.3,1232,59.9,0101,NNE | 12,10.3,N | 0,6.3
9/16/20,2300,12.5,62.6,0,0,30.04,94,64.5,74.3,1232,59.9,0101,NNE | 12,11,NNE | 29,5
9/16/20,2200,12.5,63.2,0,0,30.04,95,64.7,74.3,1232,59.9,0101,N | 8,10.9,N | 2,5.1
9/16/20,2100,12.5,63,0,0,30.04,94,64.7,74.3,1232,59.9,0101,N | 356,14.1,NNW | 330,7.6
9/16/20,2000,12.5,62.2,0,0,30.04,91,64.9,74.3,1232,59.9,0101,NNW | 335,16.1,N | 350,8
9/16/20,1900,12.5,61.9,0,0,30.03,84,66.9,74.3,1232,59.9,0101,NNW | 335,17.7,NNW | 329,8.1
9/16/20,1800,12.5,62.1,0,0,30.03,79,68.9,74.3,1232,59.9,0101,NW | 326,19.1,NNW | 337,11.8
9/16/20,1700,12.5,61.9,0,0,30.03,73,70.9,74.3,1232,59.9,0101,NNW | 334,20.8,NNW | 345,13.2
9/16/20,1600,12.5,61.7,0,0,30.05,70,71.9,74.3,1232,59.9,0101,NNW | 328,20.3,NW | 322,12.5
9/16/20,1500,12.5,61.3,0,0,30.05,68,72.5,74.3,1232,59.9,0101,NW | 325,19.3,NNW | 333,13.3
9/16/20,1400,12.5,61.1,0,0,30.07,67,72.6,74.3,1232,59.9,0101,NNW | 329,22,NNW | 331,15
9/16/20,1300,12.5,61.3,0,0,30.07,67,73,74.3,1232,59.9,0101,NW | 323,19,NW | 322,12.6
9/16/20,1200,12.5,61.6,0,0,30.08,71,71.5,72.4,1144,59.9,0101,NW | 314,16.5,NW | 305,10.8
9/16/20,1100,12.5,61.6,0,0,30.09,72,71.1,72.2,1058,59.9,0101,NW | 326,14.4,NNW | 334,8.2
9/16/20,1000,12.5,61.1,0,0,30.1,77,68.5,69.4,0930,59.9,0101,NNW | 335,12.6,NW | 324,7
9/16/20,0900,12.5,61.2,0,0,30.1,85,65.9,67.7,0900,59.9,0101,N | 0,9.6,NNW | 347,4.2
9/16/20,0800,12.5,60.6,0,0,30.09,93,62.7,63.9,0759,59.9,0101,NE | 42,10.8,NE | 46,6.4
9/16/20,0700,12.5,60.1,0,0,30.09,95,61.4,62.4,0659,59.9,0101,NE | 51,11.6,ENE | 62,7.2
9/16/20,0600,12.5,60.5,0,0,30.07,96,61.7,62,0440,59.9,0101,NE | 41,11.5,NE | 45,6.9
9/16/20,0500,12.6,60.8,0,0,30.07,96,61.8,62,0440,59.9,0101,N | 7,13.3,N | 6,7.4
9/16/20,0400,12.6,60.9,0,0,30.07,97,61.9,62,0323,59.9,0101,N | 4,10.1,NNE | 33,6
9/16/20,0300,12.6,60.6,0,0,30.08,97,61.5,61.8,0259,59.9,0101,NNE | 22,12.4,NNE | 12,7.3
9/16/20,0200,12.6,59.4,0,0,30.08,97,60.3,61,0159,59.9,0101,NNE | 31,11,NNE | 24,6.8
9/16/20,0100,12.5,58.3,0,0,30.09,96,59.4,70.3,1422,55.6,0507,NE | 50,9,NE | 52,5.3
9/16/20,0000,12.5,58.2,0,0,30.09,95,59.7,70.3,1422,55.6,0507,NNE | 32,7.4,NNE | 19,4.2
9/15/20,2300,12.5,58.4,0,0,30.09,94,60.1,70.3,1422,55.6,0507,NNE | 26,9.5,NNE | 20,5.1
9/15/20,2200,12.5,58.3,0,0,30.09,93,60.4,70.3,1422,55.6,0507,NNE | 16,11,N | 8,6.1
9/15/20,2100,12.5,57.4,0,0,30.09,92,59.7,70.3,1422,55.6,0507,NNE | 12,13.5,NNE | 25,7.4
9/15/20,2000,12.5,57.2,0,0,30.07,90,60.3,70.3,1422,55.6,0507,NNW | 347,11.5,NNW | 333,7.3
9/15/20,1900,12.5,57.6,0,0,30.07,86,61.8,70.3,1422,55.6,0507,NNW | 333,13.4,NNW | 327,8.4
9/15/20,1800,12.5,57.8,0,0,30.07,80,64,70.3,1422,55.6,0507,NW | 325,18.5,NW | 323,11.2
9/15/20,1700,12.5,56.9,0,0,30.07,69,67.4,70.3,1422,55.6,0507,NW | 325,17.9,NNW | 328,11.1
9/15/20,1600,12.5,56.5,0,0,30.07,65,68.7,70.3,1422,55.6,0507,NW | 319,14,NNW | 340,10
9/15/20,1500,12.5,56.2,0,0,30.08,64,69,70.3,1422,55.6,0507,NW | 321,14.9,NW | 316,9.5
9/15/20,1400,12.5,56.2,0,0,30.1,65,68.6,70.1,1316,55.6,0507,NW | 314,14.2,NW | 322,9.2
9/15/20,1300,12.5,56,0,0,30.1,69,66.6,68.6,1256,55.6,0507,NW | 317,16,WNW | 301,10.6
9/15/20,1200,12.5,56.4,0,0,30.11,69,66.7,67.9,1146,55.6,0507,NW | 315,13.6,NW | 310,8.6
9/15/20,1100,12.5,56.4,0,0,30.12,74,64.9,67.2,1100,55.6,0507,NW | 326,13.6,NNW | 335,8.2
9/15/20,1000,12.5,56.2,0,0,30.12,80,62.6,64.8,0956,55.6,0507,NNW | 346,12.2,N | 352,7
9/15/20,0900,12.5,56.2,0,0,30.11,85,60.7,61.7,0834,55.6,0507,N | 1,12.3,NNW | 336,4.7
9/15/20,0800,12.5,55.3,0,0,30.11,91,57.8,59.1,0115,55.6,0507,NNE | 28,10.1,NNE | 16,4.5
9/15/20,0700,12.5,54.6,0,0,30.09,92,56.7,59.1,0115,55.6,0507,NE | 43,10.5,NE | 37,6.2
9/15/20,0600,12.5,54.3,0,0,30.08,93,56.2,59.1,0115,55.6,0507,NE | 46,9.2,NE | 38,6.2
9/15/20,0500,12.6,54.5,0,0,30.08,91,57.1,59.1,0115,56.1,0455,NE | 48,9.8,ENE | 57,6.1
9/15/20,0400,12.6,55.3,0,0,30.08,89,58.4,59.1,0115,58,0358,NNE | 14,10.6,NNE | 22,6
9/15/20,0300,12.6,55.5,0,0,30.08,89,58.7,59.1,0115,58.5,0256,N | 7,11.4,N | 8,6.4
9/15/20,0200,12.6,55.9,0,0,30.09,89,59.1,59.1,0115,59,0157,N | 9,11.2,N | 1,7
9/15/20,0100,12.5,56.2,0,0,30.09,90,59.2,66.1,1317,53.6,0237,N | 8,12.2,NNE | 22,7.2
9/15/20,0000,12.5,55.8,0,0,30.09,89,58.9,66.1,1317,53.6,0237,NNE | 17,12.1,N | 3,6
9/14/20,2300,12.5,55.3,0,0,30.08,89,58.6,66.1,1317,53.6,0237,N | 6,11.6,N | 351,6.4
9/14/20,2200,12.5,53.9,0,0,30.08,86,58.2,66.1,1317,53.6,0237,NNW | 348,8.3,N | 349,3.8
9/14/20,2100,12.5,53.4,0,0,30.06,81,59.1,66.1,1317,53.6,0237,NNE | 24,11,NNE | 19,6.1
9/14/20,2000,12.5,52.7,0,0,30.04,85,57,66.1,1317,53.6,0237,N | 8,14.7,NNW | 337,8.4
9/14/20,1900,12.5,52.6,0,0,30.03,79,59,66.1,1317,53.6,0237,NNW | 333,15.9,NW | 325,10
9/14/20,1800,12.5,52.6,0,0,30.03,71,62,66.1,1317,53.6,0237,NW | 326,14.9,NW | 323,10.4
9/14/20,1700,12.5,52.9,0,0,30.02,66,64.4,66.1,1317,53.6,0237,NNW | 330,16.3,NNW | 341,9.9
9/14/20,1600,12.5,53.5,0,0,30.02,67,64.6,66.1,1317,53.6,0237,NW | 320,13.8,NW | 305,9.2
9/14/20,1500,12.5,53.3,0,0,30.03,67,64.4,66.1,1317,53.6,0237,NW | 313,14.4,WNW | 303,9.5
9/14/20,1400,12.5,53.1,0,0,30.04,67,64.5,66.1,1317,53.6,0237,NW | 316,14.9,NW | 304,9
9/14/20,1300,12.5,53.2,0,0,30.05,66,64.6,65.4,1217,53.6,0237,NW | 313,11.8,NW | 308,7.4
