"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,PTAQ,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,RUAC3,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,shrubs,RUUR,10,50
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,shrubs,TODI,1,100
SMA-11-01,TOKA,TOKA-007,2016-05-25,shrubs,BAPI,15,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,BRMI2,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,shrubs,DIAUA,1,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,GALIU,,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,GEDI,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,HOCA3,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,shrubs,HODI,1,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,PAVI3,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,PTAQ,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,RUAC3,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,shrubs,RUUR,1,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,SCCA2,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,shrubs,TODI,3,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,TRAN6,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,TRHI4,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,VISA,0,
SMA-11-01,TOKA,TOKA-007,2016-05-25,grassesAndForbs,VIVI,0,
SMA-11-01,TOKA,TOKA-007,2018-04-19,shrubs,BAPI,15,100
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,CAOV4,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,shrubs,DIAU,1,100
SMA-11-01,TOKA,TOKA-007,2018-04-19,trees,EUGL,1,7
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,LOCO6,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,shrubs,LOIN5,1,100
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,PETR7,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,trees,PIRA2,7,5
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,RORO,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,RUUR,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,SCAR7,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,shrubs,TODI,5,75
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-007,2018-04-19,grassesAndForbs,VITE,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,shrubs,BAPI,25,100
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,BRMI2,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,CAOV4,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,shrubs,DIAU,1,50
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,DRAR3,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,shrubs,FRCA12,1,50
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,HOCA3,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,HYRA3,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,NAPU4,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,PAVI3,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,trees,PIRA2,20,7
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,RORO,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-007,2021-05-05,shrubs,TODI,5,100
SMA-11-01,TOKA,TOKA-007,2021-05-05,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,AVBA,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,shrubs,BAPI,23,150
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,BRDI2,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,BRDI3,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,BRHO2,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,CENTA,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,CYEC,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,DAGL,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,DIAU,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,trees,EUGL,1,8
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,HOLA,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,shrubs,LOIN5,1,12
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,PAVI3,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,trees,PIRA2,10,7
SMA-11-01,TOKA,TOKA-007,2024-06-14,shrubs,RUUR,2,25
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,shrubs,TODI,5,200
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,TRDU2,,
SMA-11-01,TOKA,TOKA-007,2024-06-14,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,ACMI2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,AICA,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,ANTO,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,ARDO3,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,shrubs,BAPI,60,150
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,BRMI2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,CAPY2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,CIVU,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,ELGL,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,ESCA2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,HEMA80,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,HYGL2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,JUPA2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,LOCO6,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,LOPEM2,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,MAFA3,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,PHAQ,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,POGLG4,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,PSEUD43,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,PTAQ,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,shrubs,RUUR,30,50
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,SYCH4,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,shrubs,TODI,30,75
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,VELA,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-013,2018-06-01,grassesAndForbs,VIVI,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,ACMI2,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,shrubs,BAPI,70,140
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,BRHO2,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,CIVU,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,CLDO2,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,CYEC,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,GEDI,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,HEMA80,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,LOPEM2,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,MEPO3,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,NAME,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,shrubs,RUUR,7,30
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,SYCH4,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,shrubs,TODI,5,80
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,TRAN6,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,VELA,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,VIVI,,
SMA-11-01,TOKA,TOKA-013,2022-06-08,grassesAndForbs,VUBR,,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,AICA,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,ANAR,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,shrubs,BAPI,7,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,BETR,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,BRMI2,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,CAPY2,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,ELGL,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,HOLA,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,LATI,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,PSCA13,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,RUAC3,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,shrubs,RUUR,1,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,SANIC,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,SIBE,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,TRAN6,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,TRDU2,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,TRHI4,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,VISA,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,VITE,0,
SMA-11-01,TOKA,TOKA-016,2016-05-25,grassesAndForbs,VIVI,0,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,JUNCU,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,shrubs,BAPI,25,75
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,BRCA5,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,CAOV4,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,CIVU,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,CRVET,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,shrubs,DIAU,1,50
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,ELGL,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,FRVE,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,GEDI,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,HOCA3,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,IRDO,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,MAFA3,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,OXALP,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,PHAQ,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,trees,PSME,1,3
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,PTAQ,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,shrubs,TODI,1,20
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,TRAN6,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,VIAM,,
SMA-11-01,TOKA,TOKA-016,2018-04-19,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,shrubs,BAPI,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,CAOV4,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,DAGL,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,shrubs,DIAU,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,GAUS,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,LOWR2,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,shrubs,PSME,2,300
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,PTAQ,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,shrubs,RUUR,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,SACR2,,
SMA-11-01,TOKA,TOKA-016,2021-05-14,shrubs,TODI,30,50
SMA-11-01,TOKA,TOKA-016,2021-05-14,grassesAndForbs,TRSU3,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,shrubs,BAPI,65,80
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,CREPI,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,CRVET,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,DIAU,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,GEDI,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,PHAQ,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,trees,PSME,1,4
SMA-11-01,TOKA,TOKA-016,2024-05-22,shrubs,RUUR,30,60
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,SACR2,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,SANIC,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,shrubs,TODI,25,50
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-016,2024-05-22,grassesAndForbs,VIVI,,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,JUNCU,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,shrubs,BAPI,45,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,BETR,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,BRMI2,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,CETE9,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,CIVU,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,ELGL,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,shrubs,EUGL,1,
SMA-11-01,TOKA,TOKA-018,2016-06-27,trees,EUGL,2,
SMA-11-01,TOKA,TOKA-018,2016-06-27,shrubs,MOCA6,1,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,NAVAR,0,
SMA-11-01,TOKA,TOKA-018,2016-06-27,shrubs,RUUR,15,
SMA-11-01,TOKA,TOKA-018,2016-06-27,shrubs,TODI,28,
SMA-11-01,TOKA,TOKA-018,2016-06-27,grassesAndForbs,TRAN6,0,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,AICA,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,AVBA,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,AVFA,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,BAPI,60,100
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,CASU6,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,COSE4,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,DAGL,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,DIAUA,2,100
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,ELGL,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,trees,EUGL,5,25
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,GAUS,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,HODI,1,150
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,HOLA,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,LOINL,1,150
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,LYHY3,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,NALE2,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,PAVI3,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,PHAQ,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,PSEUD43,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,trees,QUAG,1,5
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,RUUR,20,50
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,SALIX,2,150
SMA-11-01,TOKA,TOKA-018,2018-05-29,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-018,2018-05-29,shrubs,TODI,20,75
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,AICA,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,AVENA,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,shrubs,BAPI,50,75
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,BRCA5,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,BRMI2,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,CACI2,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,CENTA2,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,COSE4,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,shrubs,DIAU,1,15
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,ELGL,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,trees,EUGL,6,21
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,GAPH2,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,LOCO6,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,NAPU4,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,NASQ,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,shrubs,PSME,1,3
SMA-11-01,TOKA,TOKA-018,2021-06-29,trees,QUAG,1,9
SMA-11-01,TOKA,TOKA-018,2021-06-29,shrubs,RUUR,6,25
SMA-11-01,TOKA,TOKA-018,2021-06-29,shrubs,SALIX,1,4
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,SANIC,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,SYCH4,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,shrubs,TODI,5,30
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,TRAN6,,
SMA-11-01,TOKA,TOKA-018,2021-06-29,grassesAndForbs,VIVI,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,ACMI2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,shrubs,BAPI,60,100
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,BETR,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,BRCA5,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,CAPY2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,CLARK,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,CLDO2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,COJU2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,CRVET,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,CYEC,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,shrubs,DIAU,1,50
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,ELGL,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,trees,EUGL,5,25
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,FOVU,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,GAPH2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,JUOC2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,LOCO6,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,shrubs,LOIN5,1,400
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,MASA,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,PHAQ,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,shrubs,PSME,1,300
SMA-11-01,TOKA,TOKA-018,2024-06-14,trees,QUAG,1,8
SMA-11-01,TOKA,TOKA-018,2024-06-14,shrubs,RUUR,10,25
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,SACR2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,shrubs,SALIX,1,400
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,SCCA2,,
SMA-11-01,TOKA,TOKA-018,2024-06-14,grassesAndForbs,SIBE,,
