Point.Id,Year,vegtype,cover
TOKA-022,2021,Other,35
TOKA-022,2021,BareGround,0
TOKA-022,2024,AnnualGr,94
TOKA-022,2024,Forb,43
TOKA-022,2024,Legumes,13
TOKA-022,2024,PereGr,1
TOKA-022,2024,SedgesRushes,0
TOKA-022,2024,ShrubsTrees,35
TOKA-022,2024,Other,0
TOKA-022,2024,BareGround,1
TOKA-029,2016,AnnualGr,48
TOKA-029,2016,Forb,13
TOKA-029,2016,Legumes,2
TOKA-029,2016,PereGr,8
TOKA-029,2016,SedgesRushes,0
TOKA-029,2016,ShrubsTrees,0
TOKA-029,2016,Other,3
TOKA-029,2016,BareGround,47
TOKA-029,2018,AnnualGr,31
TOKA-029,2018,Forb,15
TOKA-029,2018,Legumes,14.000000000000002
TOKA-029,2018,PereGr,6
TOKA-029,2018,SedgesRushes,0
TOKA-029,2018,ShrubsTrees,38
TOKA-029,2018,Other,0
TOKA-029,2018,BareGround,45
TOKA-030,2018,AnnualGr,67
TOKA-030,2018,Forb,48
TOKA-030,2018,Legumes,17
TOKA-030,2018,PereGr,5
TOKA-030,2018,SedgesRushes,0
TOKA-030,2018,ShrubsTrees,53
TOKA-030,2018,Other,0
TOKA-030,2018,BareGround,3
TOKA-034,2016,AnnualGr,23
TOKA-034,2016,Forb,11
TOKA-034,2016,Legumes,13
TOKA-034,2016,PereGr,32
TOKA-034,2016,SedgesRushes,1
TOKA-034,2016,ShrubsTrees,0
TOKA-034,2016,Other,0
TOKA-034,2016,BareGround,55.00000000000001
TOKA-034,2018,AnnualGr,7.000000000000001
TOKA-034,2018,Forb,9
TOKA-034,2018,Legumes,4
TOKA-034,2018,PereGr,44
TOKA-034,2018,SedgesRushes,1
TOKA-034,2018,ShrubsTrees,4
TOKA-034,2018,Other,0
TOKA-034,2018,BareGround,50
TOKA-035,2022,AnnualGr,0
TOKA-035,2022,Forb,8
TOKA-035,2022,Legumes,0
TOKA-035,2022,PereGr,0
TOKA-035,2022,SedgesRushes,0
TOKA-035,2022,ShrubsTrees,54
TOKA-035,2022,Other,0
TOKA-035,2022,BareGround,46
TOKA-041,2016,AnnualGr,70
TOKA-041,2016,Forb,45
TOKA-041,2016,Legumes,32
TOKA-041,2016,PereGr,15
TOKA-041,2016,SedgesRushes,2
TOKA-041,2016,ShrubsTrees,2
TOKA-041,2016,Other,5
TOKA-041,2016,BareGround,11
TOKA-041,2018,AnnualGr,49
TOKA-041,2018,Forb,51
TOKA-041,2018,Legumes,16
TOKA-041,2018,PereGr,16
TOKA-041,2018,SedgesRushes,5
TOKA-041,2018,ShrubsTrees,56.00000000000001
TOKA-041,2018,Other,0
TOKA-041,2018,BareGround,6
TOKA-041,2022,AnnualGr,26
TOKA-041,2022,Forb,41
TOKA-041,2022,Legumes,31
TOKA-041,2022,PereGr,18
TOKA-041,2022,SedgesRushes,6
TOKA-041,2022,ShrubsTrees,62
TOKA-041,2022,Other,2
TOKA-041,2022,BareGround,5
TOKA-055,2016,AnnualGr,49
TOKA-055,2016,Forb,20
TOKA-055,2016,Legumes,19
TOKA-055,2016,PereGr,0
TOKA-055,2016,SedgesRushes,0
TOKA-055,2016,ShrubsTrees,0
TOKA-055,2016,Other,6
TOKA-055,2016,BareGround,34
TOKA-055,2018,AnnualGr,74
TOKA-055,2018,Forb,9
TOKA-055,2018,Legumes,2
TOKA-055,2018,PereGr,0
TOKA-055,2018,SedgesRushes,0
TOKA-055,2018,ShrubsTrees,16
TOKA-055,2018,Other,0
TOKA-055,2018,BareGround,24
TOKA-057,2016,AnnualGr,78
TOKA-057,2016,Forb,30
TOKA-057,2016,Legumes,20
TOKA-057,2016,PereGr,15
TOKA-057,2016,SedgesRushes,0
TOKA-057,2016,ShrubsTrees,0
TOKA-057,2016,Other,1
TOKA-057,2016,BareGround,14.000000000000002
TOKA-057,2018,AnnualGr,83
TOKA-057,2018,Forb,28.000000000000004
TOKA-057,2018,Legumes,8
TOKA-057,2018,PereGr,21
TOKA-057,2018,SedgesRushes,0
TOKA-057,2018,ShrubsTrees,2
TOKA-057,2018,Other,0
TOKA-057,2018,BareGround,10
TOKA-057,2021,AnnualGr,74
TOKA-057,2021,Forb,19
TOKA-057,2021,Legumes,4
TOKA-057,2021,PereGr,36
TOKA-057,2021,SedgesRushes,0
TOKA-057,2021,ShrubsTrees,10
TOKA-057,2021,Other,1
TOKA-057,2021,BareGround,14.000000000000002
TOKA-057,2024,AnnualGr,75
TOKA-057,2024,Forb,35
TOKA-057,2024,Legumes,31
TOKA-057,2024,PereGr,38
TOKA-057,2024,SedgesRushes,0
TOKA-057,2024,ShrubsTrees,14.000000000000002
TOKA-057,2024,Other,3
TOKA-057,2024,BareGround,10
TOKA-060,2016,AnnualGr,62
TOKA-060,2016,Forb,21
TOKA-060,2016,Legumes,9
TOKA-060,2016,PereGr,34
TOKA-060,2016,SedgesRushes,0
TOKA-060,2016,ShrubsTrees,0
TOKA-060,2016,Other,2
TOKA-060,2016,BareGround,20
TOKA-060,2018,AnnualGr,60
TOKA-060,2018,Forb,23
TOKA-060,2018,Legumes,16
TOKA-060,2018,PereGr,38
TOKA-060,2018,SedgesRushes,0
TOKA-060,2018,ShrubsTrees,43
TOKA-060,2018,Other,14.000000000000002
TOKA-060,2018,BareGround,21
TOKA-060,2021,AnnualGr,48
TOKA-060,2021,Forb,14.000000000000002
TOKA-060,2021,Legumes,18
TOKA-060,2021,PereGr,35
TOKA-060,2021,SedgesRushes,0
TOKA-060,2021,ShrubsTrees,56.99999999999999
TOKA-060,2021,Other,1
TOKA-060,2021,BareGround,20
TOKA-060,2024,AnnualGr,57.99999999999999
TOKA-060,2024,Forb,19
TOKA-060,2024,Legumes,9
TOKA-060,2024,PereGr,27
TOKA-060,2024,SedgesRushes,0
TOKA-060,2024,ShrubsTrees,62
TOKA-060,2024,Other,0
TOKA-060,2024,BareGround,20
TOKA-061,2016,AnnualGr,88
TOKA-061,2016,Forb,40
TOKA-061,2016,Legumes,4
TOKA-061,2016,PereGr,28.999999999999996
TOKA-061,2016,SedgesRushes,0
TOKA-061,2016,ShrubsTrees,0
TOKA-061,2016,Other,2
TOKA-061,2016,BareGround,4
TOKA-061,2018,AnnualGr,67
TOKA-061,2018,Forb,50
TOKA-061,2018,Legumes,8
TOKA-061,2018,PereGr,6
TOKA-061,2018,SedgesRushes,0
TOKA-061,2018,ShrubsTrees,34
TOKA-061,2018,Other,1
TOKA-061,2018,BareGround,3
TOKA-061,2021,AnnualGr,48
TOKA-061,2021,Forb,41
TOKA-061,2021,Legumes,10
TOKA-061,2021,PereGr,12
TOKA-061,2021,SedgesRushes,0
TOKA-061,2021,ShrubsTrees,8
TOKA-061,2021,Other,25
TOKA-061,2021,BareGround,50
TOKA-061,2023,AnnualGr,84
TOKA-061,2023,Forb,60
TOKA-061,2023,Legumes,24
TOKA-061,2023,PereGr,35
TOKA-061,2023,SedgesRushes,1
TOKA-061,2023,ShrubsTrees,17
TOKA-061,2023,Other,1
TOKA-061,2023,BareGround,1
TOKA-061,2024,AnnualGr,76
TOKA-061,2024,Forb,62
TOKA-061,2024,Legumes,11
TOKA-061,2024,PereGr,11
TOKA-061,2024,SedgesRushes,0
TOKA-061,2024,ShrubsTrees,14.000000000000002
TOKA-061,2024,Other,4
TOKA-061,2024,BareGround,13
TOKA-064,2016,AnnualGr,46
TOKA-064,2016,Forb,25
TOKA-064,2016,Legumes,3
TOKA-064,2016,PereGr,0
TOKA-064,2016,SedgesRushes,0
TOKA-064,2016,ShrubsTrees,1
TOKA-064,2016,Other,3
TOKA-064,2016,BareGround,50
TOKA-064,2018,AnnualGr,50
TOKA-064,2018,Forb,43
TOKA-064,2018,Legumes,23
TOKA-064,2018,PereGr,3
TOKA-064,2018,SedgesRushes,0
TOKA-064,2018,ShrubsTrees,28.000000000000004
TOKA-064,2018,Other,0
TOKA-064,2018,BareGround,50
TOKA-067,2016,AnnualGr,90
TOKA-067,2016,Forb,19
TOKA-067,2016,Legumes,12
TOKA-067,2016,PereGr,0
TOKA-067,2016,SedgesRushes,0
TOKA-067,2016,ShrubsTrees,0
TOKA-067,2016,Other,1
TOKA-067,2016,BareGround,8
TOKA-067,2018,AnnualGr,79
TOKA-067,2018,Forb,35
TOKA-067,2018,Legumes,13
TOKA-067,2018,PereGr,2
TOKA-067,2018,SedgesRushes,0
TOKA-067,2018,ShrubsTrees,47
TOKA-067,2018,Other,0
TOKA-067,2018,BareGround,2
TOKA-067,2021,AnnualGr,52
TOKA-067,2021,Forb,43
TOKA-067,2021,Legumes,41
TOKA-067,2021,PereGr,11
TOKA-067,2021,SedgesRushes,0
TOKA-067,2021,ShrubsTrees,24
TOKA-067,2021,Other,51
TOKA-067,2021,BareGround,31
TOKA-067,2024,AnnualGr,44
TOKA-067,2024,Forb,45
TOKA-067,2024,Legumes,3
TOKA-067,2024,PereGr,17
TOKA-067,2024,SedgesRushes,0
TOKA-067,2024,ShrubsTrees,20
TOKA-067,2024,Other,2
TOKA-067,2024,BareGround,33
TOKA-068,2016,AnnualGr,79
TOKA-068,2016,Forb,38
TOKA-068,2016,Legumes,25
TOKA-068,2016,PereGr,0
TOKA-068,2016,SedgesRushes,0
TOKA-068,2016,ShrubsTrees,0
TOKA-068,2016,Other,1
TOKA-068,2016,BareGround,11
TOKA-068,2018,AnnualGr,86
TOKA-068,2018,Forb,49
TOKA-068,2018,Legumes,53
TOKA-068,2018,PereGr,2
TOKA-068,2018,SedgesRushes,0
TOKA-068,2018,ShrubsTrees,2
TOKA-068,2018,Other,0
TOKA-068,2018,BareGround,0
TOKA-068,2021,AnnualGr,92
TOKA-068,2021,Forb,13
TOKA-068,2021,Legumes,6
TOKA-068,2021,PereGr,8
TOKA-068,2021,SedgesRushes,0
TOKA-068,2021,ShrubsTrees,6
TOKA-068,2021,Other,7.000000000000001
TOKA-068,2021,BareGround,6
TOKA-068,2024,AnnualGr,95
TOKA-068,2024,Forb,20
TOKA-068,2024,Legumes,22
TOKA-068,2024,PereGr,24
TOKA-068,2024,SedgesRushes,0
TOKA-068,2024,ShrubsTrees,20
TOKA-068,2024,Other,0
TOKA-068,2024,BareGround,0
TOKA-080,2018,AnnualGr,73
TOKA-080,2018,Forb,52
TOKA-080,2018,Legumes,7.000000000000001
TOKA-080,2018,PereGr,0
TOKA-080,2018,SedgesRushes,0
TOKA-080,2018,ShrubsTrees,13
TOKA-080,2018,Other,1
TOKA-080,2018,BareGround,5
TOKA-080,2022,AnnualGr,69
TOKA-080,2022,Forb,62
TOKA-080,2022,Legumes,26
TOKA-080,2022,PereGr,0
TOKA-080,2022,SedgesRushes,0
TOKA-080,2022,ShrubsTrees,18
TOKA-080,2022,Other,1
TOKA-080,2022,BareGround,2
TOKA-089,2016,AnnualGr,23
TOKA-089,2016,Forb,47
TOKA-089,2016,Legumes,0
TOKA-089,2016,PereGr,1
TOKA-089,2016,SedgesRushes,0
TOKA-089,2016,ShrubsTrees,0
TOKA-089,2016,Other,3
TOKA-089,2016,BareGround,42
TOKA-089,2018,AnnualGr,40
TOKA-089,2018,Forb,57.99999999999999
TOKA-089,2018,Legumes,6
TOKA-089,2018,PereGr,7.000000000000001
TOKA-089,2018,SedgesRushes,0
TOKA-089,2018,ShrubsTrees,25
TOKA-089,2018,Other,0
TOKA-089,2018,BareGround,33
TOKA-099,2016,AnnualGr,79
TOKA-099,2016,Forb,47
TOKA-099,2016,Legumes,21
TOKA-099,2016,PereGr,5
TOKA-099,2016,SedgesRushes,0
TOKA-099,2016,ShrubsTrees,0
TOKA-099,2016,Other,2
TOKA-099,2016,BareGround,8
TOKA-099,2018,AnnualGr,88
TOKA-099,2018,Forb,59
TOKA-099,2018,Legumes,17
TOKA-099,2018,PereGr,9
TOKA-099,2018,SedgesRushes,0
TOKA-099,2018,ShrubsTrees,11
TOKA-099,2018,Other,0
TOKA-099,2018,BareGround,8
TOKA-099,2021,AnnualGr,81
TOKA-099,2021,Forb,37
TOKA-099,2021,Legumes,17
TOKA-099,2021,PereGr,9
TOKA-099,2021,SedgesRushes,0
TOKA-099,2021,ShrubsTrees,10
TOKA-099,2021,Other,6
TOKA-099,2021,BareGround,11
TOKA-099,2024,AnnualGr,86
TOKA-099,2024,Forb,72
TOKA-099,2024,Legumes,21
TOKA-099,2024,PereGr,9
TOKA-099,2024,SedgesRushes,0
TOKA-099,2024,ShrubsTrees,23
TOKA-099,2024,Other,1
TOKA-099,2024,BareGround,0
TOKA-104,2016,AnnualGr,90
TOKA-104,2016,Forb,57.99999999999999
TOKA-104,2016,Legumes,20
TOKA-104,2016,PereGr,50
TOKA-104,2016,SedgesRushes,0
TOKA-104,2016,ShrubsTrees,0
TOKA-104,2016,Other,4
TOKA-104,2016,BareGround,2
TOKA-104,2018,AnnualGr,79
TOKA-104,2018,Forb,31
TOKA-104,2018,Legumes,20
TOKA-104,2018,PereGr,47
TOKA-104,2018,SedgesRushes,5
TOKA-104,2018,ShrubsTrees,12
TOKA-104,2018,Other,0
TOKA-104,2018,BareGround,6
TOKA-104,2022,AnnualGr,68
TOKA-104,2022,Forb,27
TOKA-104,2022,Legumes,22
TOKA-104,2022,PereGr,53
TOKA-104,2022,SedgesRushes,4
TOKA-104,2022,ShrubsTrees,30
TOKA-104,2022,Other,0
TOKA-104,2022,BareGround,1
TOKA-111,2016,AnnualGr,88
TOKA-111,2016,Forb,36
TOKA-111,2016,Legumes,30
TOKA-111,2016,PereGr,27
TOKA-111,2016,SedgesRushes,3
TOKA-111,2016,ShrubsTrees,0
TOKA-111,2016,Other,8
TOKA-111,2016,BareGround,5
TOKA-111,2018,AnnualGr,72
TOKA-111,2018,Forb,47
TOKA-111,2018,Legumes,10
TOKA-111,2018,PereGr,16
TOKA-111,2018,SedgesRushes,2
TOKA-111,2018,ShrubsTrees,32
TOKA-111,2018,Other,0
TOKA-111,2018,BareGround,3
TOKA-111,2022,AnnualGr,59
TOKA-111,2022,Forb,34
TOKA-111,2022,Legumes,15
TOKA-111,2022,PereGr,38
TOKA-111,2022,SedgesRushes,1
TOKA-111,2022,ShrubsTrees,41
TOKA-111,2022,Other,0
TOKA-111,2022,BareGround,1
TOKA-115,2016,AnnualGr,62
TOKA-115,2016,Forb,34
TOKA-115,2016,Legumes,7.000000000000001
TOKA-115,2016,PereGr,1
TOKA-115,2016,SedgesRushes,0
TOKA-115,2016,ShrubsTrees,0
TOKA-115,2016,Other,2
TOKA-115,2016,BareGround,25
TOKA-115,2018,AnnualGr,66
TOKA-115,2018,Forb,38
TOKA-115,2018,Legumes,11
TOKA-115,2018,PereGr,2
TOKA-115,2018,SedgesRushes,1
TOKA-115,2018,ShrubsTrees,13
TOKA-115,2018,Other,0
TOKA-115,2018,BareGround,25
TOKA-117,2022,AnnualGr,70
TOKA-117,2022,Forb,10
TOKA-117,2022,Legumes,8
TOKA-117,2022,PereGr,1
TOKA-117,2022,SedgesRushes,0
TOKA-117,2022,ShrubsTrees,30
TOKA-117,2022,Other,0
TOKA-117,2022,BareGround,30
TOKA-119,2016,AnnualGr,37
TOKA-119,2016,Forb,34
TOKA-119,2016,Legumes,0
TOKA-119,2016,PereGr,0
TOKA-119,2016,SedgesRushes,0
TOKA-119,2016,ShrubsTrees,0
TOKA-119,2016,Other,0
TOKA-119,2016,BareGround,43
TOKA-119,2018,AnnualGr,17
TOKA-119,2018,Forb,32
TOKA-119,2018,Legumes,0
TOKA-119,2018,PereGr,1
TOKA-119,2018,SedgesRushes,0
TOKA-119,2018,ShrubsTrees,18
TOKA-119,2018,Other,0
TOKA-119,2018,BareGround,51
TOKA-126,2016,AnnualGr,83
TOKA-126,2016,Forb,27
TOKA-126,2016,Legumes,4
TOKA-126,2016,PereGr,21
TOKA-126,2016,SedgesRushes,0
TOKA-126,2016,ShrubsTrees,15
TOKA-126,2016,Other,0
TOKA-126,2016,BareGround,4
TOKA-126,2018,AnnualGr,82
TOKA-126,2018,Forb,41
TOKA-126,2018,Legumes,4
TOKA-126,2018,PereGr,36
TOKA-126,2018,SedgesRushes,0
TOKA-126,2018,ShrubsTrees,19
TOKA-126,2018,Other,0
TOKA-126,2018,BareGround,0
TOKA-126,2021,AnnualGr,94
TOKA-126,2021,Forb,54
TOKA-126,2021,Legumes,52
TOKA-126,2021,PereGr,27
TOKA-126,2021,SedgesRushes,0
TOKA-126,2021,ShrubsTrees,13
TOKA-126,2021,Other,5
TOKA-126,2021,BareGround,0
TOKA-126,2024,AnnualGr,79
TOKA-126,2024,Forb,36
TOKA-126,2024,Legumes,25
TOKA-126,2024,PereGr,17
TOKA-126,2024,SedgesRushes,0
TOKA-126,2024,ShrubsTrees,21
TOKA-126,2024,Other,10
TOKA-126,2024,BareGround,3
TOKA-129,2016,AnnualGr,20
TOKA-129,2016,Forb,3
TOKA-129,2016,Legumes,12
TOKA-129,2016,PereGr,60
TOKA-129,2016,SedgesRushes,42
TOKA-129,2016,ShrubsTrees,1
TOKA-129,2016,Other,4
TOKA-129,2016,BareGround,9
TOKA-129,2018,AnnualGr,20
TOKA-129,2018,Forb,30
TOKA-129,2018,Legumes,14.000000000000002
TOKA-129,2018,PereGr,89
TOKA-129,2018,SedgesRushes,43
TOKA-129,2018,ShrubsTrees,26
TOKA-129,2018,Other,0
TOKA-129,2018,BareGround,0
TOKA-129,2021,AnnualGr,24
TOKA-129,2021,Forb,63
TOKA-129,2021,Legumes,91
TOKA-129,2021,PereGr,76
TOKA-129,2021,SedgesRushes,32
TOKA-129,2021,ShrubsTrees,25
TOKA-129,2021,Other,11
TOKA-129,2021,BareGround,0
TOKA-129,2024,AnnualGr,42
TOKA-129,2024,Forb,13
TOKA-129,2024,Legumes,15
TOKA-129,2024,PereGr,79
TOKA-129,2024,SedgesRushes,26
TOKA-129,2024,ShrubsTrees,36
TOKA-129,2024,Other,0
TOKA-129,2024,BareGround,0
TOKA-135,2016,AnnualGr,36
TOKA-135,2016,Forb,14.000000000000002
TOKA-135,2016,Legumes,0
TOKA-135,2016,PereGr,1
TOKA-135,2016,SedgesRushes,0
TOKA-135,2016,ShrubsTrees,0
TOKA-135,2016,Other,0
TOKA-135,2016,BareGround,64
TOKA-135,2018,AnnualGr,30
TOKA-135,2018,Forb,10
TOKA-135,2018,Legumes,0
TOKA-135,2018,PereGr,0
TOKA-135,2018,SedgesRushes,0
TOKA-135,2018,ShrubsTrees,2
TOKA-135,2018,Other,0
TOKA-135,2018,BareGround,65
TOKA-137,2016,AnnualGr,68
TOKA-137,2016,Forb,61
TOKA-137,2016,Legumes,15
TOKA-137,2016,PereGr,15
TOKA-137,2016,SedgesRushes,0
TOKA-137,2016,ShrubsTrees,0
TOKA-137,2016,Other,8
TOKA-137,2016,BareGround,4
TOKA-137,2018,AnnualGr,52
TOKA-137,2018,Forb,61
TOKA-137,2018,Legumes,12
TOKA-137,2018,PereGr,8
TOKA-137,2018,SedgesRushes,1
TOKA-137,2018,ShrubsTrees,35
TOKA-137,2018,Other,0
TOKA-137,2018,BareGround,5
TOKA-137,2021,AnnualGr,83
TOKA-137,2021,Forb,93
TOKA-137,2021,Legumes,56.00000000000001
TOKA-137,2021,PereGr,12
TOKA-137,2021,SedgesRushes,2
TOKA-137,2021,ShrubsTrees,46
TOKA-137,2021,Other,36
TOKA-137,2021,BareGround,2
TOKA-137,2022,AnnualGr,61
TOKA-137,2022,Forb,61
TOKA-137,2022,Legumes,10
TOKA-137,2022,PereGr,22
TOKA-137,2022,SedgesRushes,1
TOKA-137,2022,ShrubsTrees,26
TOKA-137,2022,Other,0
TOKA-137,2022,BareGround,4
TOKA-137,2023,AnnualGr,82
TOKA-137,2023,Forb,70
TOKA-137,2023,Legumes,19
TOKA-137,2023,PereGr,17
TOKA-137,2023,SedgesRushes,0
TOKA-137,2023,ShrubsTrees,38
TOKA-137,2023,Other,0
TOKA-137,2023,BareGround,1
TOKA-137,2024,AnnualGr,84
TOKA-137,2024,Forb,57.99999999999999
TOKA-137,2024,Legumes,23
TOKA-137,2024,PereGr,22
TOKA-137,2024,SedgesRushes,2
TOKA-137,2024,ShrubsTrees,38
TOKA-137,2024,Other,3
TOKA-137,2024,BareGround,2
TOKA-147,2022,AnnualGr,21
TOKA-147,2022,Forb,17
TOKA-147,2022,Legumes,3
TOKA-147,2022,PereGr,6
TOKA-147,2022,SedgesRushes,0
TOKA-147,2022,ShrubsTrees,32
TOKA-147,2022,Other,0
TOKA-147,2022,BareGround,39
TOKA-147,2023,AnnualGr,11
TOKA-147,2023,Forb,33
TOKA-147,2023,Legumes,0
TOKA-147,2023,PereGr,5
TOKA-147,2023,SedgesRushes,0
TOKA-147,2023,ShrubsTrees,52
TOKA-147,2023,Other,0
TOKA-147,2023,BareGround,25
TOKA-147,2024,AnnualGr,19
TOKA-147,2024,Forb,35
TOKA-147,2024,Legumes,0
TOKA-147,2024,PereGr,1
TOKA-147,2024,SedgesRushes,0
TOKA-147,2024,ShrubsTrees,68
TOKA-147,2024,Other,3
TOKA-147,2024,BareGround,12
TOKA-154,2016,AnnualGr,46
TOKA-154,2016,Forb,11
TOKA-154,2016,Legumes,7.000000000000001
TOKA-154,2016,PereGr,5
TOKA-154,2016,SedgesRushes,0
TOKA-154,2016,ShrubsTrees,0
TOKA-154,2016,Other,1
TOKA-154,2016,BareGround,54
TOKA-154,2018,AnnualGr,48
TOKA-154,2018,Forb,13
TOKA-154,2018,Legumes,4
TOKA-154,2018,PereGr,11
TOKA-154,2018,SedgesRushes,0
TOKA-154,2018,ShrubsTrees,2
TOKA-154,2018,Other,0
TOKA-154,2018,BareGround,51
TOKA-169,2016,AnnualGr,68
TOKA-169,2016,Forb,22
TOKA-169,2016,Legumes,8
TOKA-169,2016,PereGr,3
TOKA-169,2016,SedgesRushes,0
TOKA-169,2016,ShrubsTrees,3
TOKA-169,2016,Other,5
TOKA-169,2016,BareGround,22
TOKA-169,2018,AnnualGr,52
TOKA-169,2018,Forb,38
TOKA-169,2018,Legumes,12
TOKA-169,2018,PereGr,2
TOKA-169,2018,SedgesRushes,0
TOKA-169,2018,ShrubsTrees,36
TOKA-169,2018,Other,0
TOKA-169,2018,BareGround,15
TOKA-169,2021,AnnualGr,60
TOKA-169,2021,Forb,24
TOKA-169,2021,Legumes,8
TOKA-169,2021,PereGr,0
TOKA-169,2021,SedgesRushes,0
TOKA-169,2021,ShrubsTrees,20
